epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,22.818096,0.006312,0.031562,0.025521,0.119098,0.0005,conv,cub
2,6.911809,0.006312,0.03051,0.017439,0.119098,0.0005,conv,cub
3,6.506175,0.006312,0.03314,0.017439,0.118248,0.0005,conv,cub
4,6.414426,0.006312,0.031562,0.017439,0.114845,0.0005,conv,cub
5,6.338614,0.006312,0.034719,0.017439,0.114845,0.0005,conv,cub
6,6.284994,0.006312,0.033666,0.017439,0.114845,0.0005,conv,cub
7,6.250831,0.006312,0.042609,0.017439,0.116546,0.0005,conv,cub
8,6.226324,0.008943,0.038927,0.017439,0.116121,0.0005,conv,cub
9,6.207196,0.010521,0.043661,0.017439,0.119098,0.0005,conv,cub
10,6.188305,0.020516,0.060494,0.017439,0.118248,0.0005,conv,cub
11,6.165922,0.016833,0.073119,0.01829,0.118248,0.0005,conv,cub
12,6.128217,0.019989,0.087849,0.021693,0.119098,0.0005,conv,cub
13,6.004486,0.021568,0.091005,0.019991,0.142493,0.0005,conv,cub
14,5.730048,0.034719,0.149395,0.04296,0.232242,0.0005,conv,cub
15,5.53114,0.042083,0.18727,0.057422,0.283709,0.0005,conv,cub
16,5.363121,0.055234,0.211468,0.05487,0.30285,0.0005,conv,cub
17,5.24451,0.057338,0.257233,0.057848,0.314334,0.0005,conv,cub
18,5.16299,0.061547,0.278275,0.059124,0.31561,0.0005,conv,cub
19,5.099734,0.073119,0.294582,0.059124,0.327946,0.0005,conv,cub
20,5.035627,0.090479,0.34666,0.056997,0.323692,0.0005,conv,cub
21,4.939081,0.10363,0.376118,0.059549,0.323692,0.0005,conv,cub
22,4.807401,0.11152,0.417149,0.065079,0.323267,0.0005,conv,cub
23,4.719114,0.122041,0.436086,0.070608,0.327095,0.0005,conv,cub
24,4.672051,0.13677,0.46344,0.065504,0.322416,0.0005,conv,cub
25,4.623906,0.140452,0.46344,0.07316,0.324968,0.0005,conv,cub
26,4.579703,0.142557,0.479221,0.07231,0.327095,0.0005,conv,cub
27,4.543502,0.143083,0.487638,0.070608,0.327946,0.0005,conv,cub
28,4.521837,0.148869,0.495003,0.072735,0.332624,0.0005,conv,cub
29,4.489028,0.148869,0.497633,0.076989,0.334326,0.0005,conv,cub
30,4.490541,0.154129,0.509732,0.075287,0.336027,0.0005,conv,cub
31,4.44809,0.163598,0.518674,0.077414,0.339855,0.0005,conv,cub
32,4.404339,0.158864,0.529195,0.079541,0.340281,0.0005,conv,cub
33,4.371292,0.163072,0.528669,0.07869,0.342833,0.0005,conv,cub
34,4.334076,0.16728,0.53919,0.074011,0.347086,0.0005,conv,cub
35,4.289714,0.186744,0.555497,0.076563,0.352616,0.0005,conv,cub
36,4.235928,0.190426,0.566018,0.073586,0.344534,0.0005,conv,cub
37,4.208005,0.201999,0.570752,0.063377,0.350489,0.0005,conv,cub
38,4.166691,0.205155,0.565492,0.073586,0.35134,0.0005,conv,cub
39,4.139535,0.211468,0.56707,0.068481,0.35134,0.0005,conv,cub
40,4.118944,0.220936,0.585481,0.06678,0.356019,0.0005,conv,cub
41,4.095984,0.221988,0.580221,0.07231,0.353041,0.0005,conv,cub
42,4.07144,0.234613,0.588638,0.068481,0.358145,0.0005,conv,cub
43,4.063107,0.225145,0.596528,0.063803,0.3641,0.0005,conv,cub
44,4.052555,0.221988,0.599684,0.072735,0.358996,0.0005,conv,cub
45,4.011273,0.242504,0.600736,0.065079,0.354317,0.0005,conv,cub
46,3.99986,0.247764,0.611257,0.068481,0.36325,0.0005,conv,cub
47,4.004934,0.248816,0.607575,0.064653,0.3641,0.0005,conv,cub
48,3.986476,0.247238,0.613361,0.063377,0.36325,0.0005,conv,cub
49,3.958596,0.247238,0.608101,0.06678,0.361548,0.0005,conv,cub
50,3.952196,0.249868,0.610205,0.065079,0.373458,0.0005,conv,cub
51,3.930442,0.256707,0.617044,0.065929,0.361548,0.0005,conv,cub
52,3.914617,0.254603,0.617044,0.068056,0.361548,0.0005,conv,cub
53,3.902943,0.259863,0.633877,0.069332,0.361974,0.0005,conv,cub
54,3.884984,0.255655,0.618096,0.063803,0.374734,0.0005,conv,cub
55,3.884425,0.264598,0.633877,0.067631,0.374309,0.0005,conv,cub
56,3.893161,0.260915,0.634403,0.064653,0.375585,0.0005,conv,cub
57,3.860423,0.257233,0.637559,0.064653,0.370906,0.0005,conv,cub
58,3.847693,0.253551,0.633351,0.066355,0.365802,0.0005,conv,cub
59,3.82465,0.254603,0.636507,0.067205,0.358571,0.0005,conv,cub
60,3.818863,0.277223,0.643346,0.064228,0.370055,0.0005,conv,cub
61,3.816337,0.26565,0.644924,0.071459,0.380689,0.0005,conv,cub
62,3.800338,0.264072,0.644924,0.067631,0.368779,0.0005,conv,cub
63,3.797145,0.265124,0.652288,0.070183,0.376436,0.0005,conv,cub
64,3.775195,0.263019,0.635455,0.070608,0.370481,0.0005,conv,cub
65,3.7761,0.274592,0.647554,0.069758,0.381965,0.0005,conv,cub
66,3.783611,0.267754,0.639663,0.068907,0.376436,0.0005,conv,cub
67,3.788603,0.27091,0.637559,0.069758,0.383667,0.0005,conv,cub
68,3.777779,0.276696,0.64808,0.069332,0.377286,0.0005,conv,cub
69,3.753564,0.259863,0.652288,0.068056,0.370055,0.0005,conv,cub
