epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,17.675025,0.021293,0.090494,0.060792,0.204127,0.0005,conv,flowers
2,5.753757,0.029658,0.149049,0.022867,0.307306,0.0005,conv,flowers
3,5.39882,0.030418,0.15057,0.021751,0.307306,0.0005,conv,flowers
4,5.430301,0.029658,0.149049,0.022867,0.307306,0.0005,conv,flowers
5,5.619577,0.029658,0.13308,0.022867,0.307306,0.0005,conv,flowers
6,5.761436,0.029658,0.140684,0.022867,0.307306,0.0005,conv,flowers
7,5.838552,0.029658,0.157414,0.022867,0.307306,0.0005,conv,flowers
8,5.823065,0.029658,0.146008,0.022867,0.307306,0.0005,conv,flowers
9,5.730422,0.029658,0.151331,0.022867,0.307306,0.0005,conv,flowers
10,5.630357,0.029658,0.15057,0.022867,0.307306,0.0005,conv,flowers
11,5.514423,0.047148,0.15057,0.022867,0.307306,0.0005,conv,flowers
12,5.427719,0.039544,0.15057,0.022867,0.307306,0.0005,conv,flowers
13,5.354041,0.048669,0.180228,0.022867,0.307864,0.0005,conv,flowers
14,5.294121,0.050951,0.203802,0.022867,0.312883,0.0005,conv,flowers
15,5.226813,0.04943,0.205323,0.043503,0.25488,0.0005,conv,flowers
16,5.16692,0.054753,0.222053,0.050195,0.312326,0.0005,conv,flowers
17,5.123771,0.057795,0.212167,0.055772,0.330731,0.0005,conv,flowers
18,5.117012,0.062357,0.220532,0.053542,0.334635,0.0005,conv,flowers
19,5.042157,0.060837,0.224335,0.054657,0.320692,0.0005,conv,flowers
20,5.11194,0.038783,0.235741,0.105968,0.37256,0.0005,conv,flowers
21,4.95562,0.063878,0.226616,0.096486,0.362521,0.0005,conv,flowers
22,5.021313,0.060837,0.273004,0.060234,0.381484,0.0005,conv,flowers
23,4.885001,0.053232,0.238023,0.095929,0.293921,0.0005,conv,flowers
24,4.960303,0.075285,0.303422,0.139431,0.388176,0.0005,conv,flowers
25,4.867083,0.06692,0.298859,0.118795,0.317345,0.0005,conv,flowers
26,4.862732,0.088213,0.348289,0.135527,0.362521,0.0005,conv,flowers
27,4.790587,0.08365,0.337643,0.131065,0.35527,0.0005,conv,flowers
28,4.791973,0.113308,0.38327,0.135527,0.350809,0.0005,conv,flowers
29,4.611069,0.126996,0.38251,0.133296,0.329615,0.0005,conv,flowers
30,4.663695,0.130038,0.419772,0.145008,0.365867,0.0005,conv,flowers
31,4.694999,0.152852,0.439544,0.138316,0.331846,0.0005,conv,flowers
32,4.454398,0.123194,0.441065,0.131065,0.380926,0.0005,conv,flowers
33,4.533115,0.151331,0.48289,0.138873,0.380368,0.0005,conv,flowers
34,4.560635,0.152852,0.519392,0.146124,0.419967,0.0005,conv,flowers
35,4.310386,0.174144,0.513308,0.135527,0.390965,0.0005,conv,flowers
36,4.316373,0.205323,0.534601,0.167875,0.432236,0.0005,conv,flowers
37,4.299984,0.188593,0.539163,0.139431,0.396542,0.0005,conv,flowers
38,4.177015,0.212167,0.555894,0.151143,0.449526,0.0005,conv,flowers
39,4.085078,0.230418,0.570342,0.15449,0.449526,0.0005,conv,flowers
40,4.026774,0.235741,0.595437,0.146124,0.408812,0.0005,conv,flowers
41,3.950401,0.244867,0.609125,0.128834,0.411043,0.0005,conv,flowers
42,3.898726,0.26692,0.623574,0.134412,0.418293,0.0005,conv,flowers
43,3.822828,0.273764,0.640304,0.150586,0.427217,0.0005,conv,flowers
44,3.754415,0.275285,0.651711,0.148912,0.431121,0.0005,conv,flowers
45,3.718862,0.295817,0.66692,0.145008,0.3971,0.0005,conv,flowers
46,3.673463,0.304943,0.681369,0.145566,0.384272,0.0005,conv,flowers
47,3.620656,0.306464,0.694297,0.160067,0.379253,0.0005,conv,flowers
48,3.608393,0.308745,0.692776,0.16174,0.382599,0.0005,conv,flowers
49,3.55673,0.326996,0.71635,0.16174,0.366983,0.0005,conv,flowers
50,3.465505,0.329278,0.714068,0.160625,0.389849,0.0005,conv,flowers
51,3.452046,0.33308,0.720913,0.142777,0.394311,0.0005,conv,flowers
52,3.444646,0.348289,0.730038,0.139989,0.366983,0.0005,conv,flowers
53,3.384116,0.347529,0.747529,0.131065,0.380368,0.0005,conv,flowers
54,3.333311,0.353612,0.746768,0.14222,0.385388,0.0005,conv,flowers
55,3.30528,0.354373,0.746768,0.138873,0.364752,0.0005,conv,flowers
56,3.28758,0.35057,0.74981,0.132181,0.347462,0.0005,conv,flowers
57,3.260732,0.355133,0.754373,0.130508,0.332404,0.0005,conv,flowers
58,3.254036,0.361217,0.757414,0.127161,0.3285,0.0005,conv,flowers
59,3.232242,0.36654,0.7673,0.125488,0.346347,0.0005,conv,flowers
60,3.181371,0.375665,0.770342,0.123257,0.341885,0.0005,conv,flowers
61,3.163273,0.368821,0.764259,0.122699,0.337423,0.0005,conv,flowers
62,3.167073,0.370342,0.774905,0.11768,0.320134,0.0005,conv,flowers
63,3.145056,0.368821,0.777947,0.120468,0.315672,0.0005,conv,flowers
64,3.140773,0.371103,0.776426,0.121026,0.320134,0.0005,conv,flowers
65,3.128012,0.384791,0.78327,0.118795,0.332962,0.0005,conv,flowers
66,3.10568,0.384791,0.786312,0.119911,0.322922,0.0005,conv,flowers
67,3.076958,0.385551,0.790875,0.120468,0.350251,0.0005,conv,flowers
68,3.045972,0.390114,0.790875,0.121026,0.34077,0.0005,conv,flowers
69,3.038714,0.390875,0.793916,0.120468,0.334635,0.0005,conv,flowers
