epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,23.64532,0.006312,0.031562,0.025521,0.122926,0.0005,conv,cub
2,3.744971,0.006839,0.032088,0.025096,0.119524,0.0005,conv,cub
3,2.666346,0.003682,0.028406,0.026797,0.121225,0.0005,conv,cub
4,2.492487,0.008417,0.03314,0.029349,0.132284,0.0005,conv,cub
5,2.3931,0.008943,0.037349,0.024245,0.137388,0.0005,conv,cub
6,2.341814,0.009995,0.043135,0.025096,0.134411,0.0005,conv,cub
7,2.541922,0.008943,0.045239,0.027648,0.135262,0.0005,conv,cub
8,2.301502,0.012099,0.056286,0.021693,0.129732,0.0005,conv,cub
9,2.423734,0.00526,0.036297,0.017439,0.118673,0.0005,conv,cub
10,2.372044,0.015781,0.079958,0.021268,0.135262,0.0005,conv,cub
11,2.308417,0.009469,0.08101,0.017439,0.121225,0.0005,conv,cub
12,2.2811,0.014729,0.087849,0.022118,0.135687,0.0005,conv,cub
13,2.27628,0.028406,0.098895,0.019566,0.136112,0.0005,conv,cub
14,2.274935,0.023146,0.098369,0.021268,0.136112,0.0005,conv,cub
15,2.302953,0.006312,0.031562,0.017439,0.108039,0.0005,conv,cub
16,2.598617,0.015255,0.069963,0.025521,0.122501,0.0005,conv,cub
17,2.259716,0.017885,0.092583,0.017439,0.1208,0.0005,conv,cub
18,2.272504,0.024198,0.10626,0.017439,0.113569,0.0005,conv,cub
19,2.276809,0.032614,0.120989,0.017439,0.107188,0.0005,conv,cub
20,2.240753,0.027354,0.12888,0.017439,0.1208,0.0005,conv,cub
21,2.229899,0.028406,0.132562,0.017439,0.124202,0.0005,conv,cub
22,2.237132,0.026828,0.13414,0.017439,0.130157,0.0005,conv,cub
23,2.345963,0.026828,0.11415,0.017439,0.11527,0.0005,conv,cub
24,2.220181,0.032088,0.146239,0.017865,0.127605,0.0005,conv,cub
25,2.25837,0.02788,0.145713,0.017439,0.123777,0.0005,conv,cub
26,2.286481,0.014729,0.064703,0.017439,0.109315,0.0005,conv,cub
27,2.493434,0.022094,0.112046,0.017439,0.150149,0.0005,conv,cub
28,2.263181,0.03314,0.143609,0.017865,0.146321,0.0005,conv,cub
29,2.219142,0.042083,0.172541,0.020842,0.15738,0.0005,conv,cub
30,2.20908,0.057338,0.206207,0.018715,0.142493,0.0005,conv,cub
31,2.215175,0.055234,0.207259,0.021693,0.155253,0.0005,conv,cub
32,2.199003,0.05839,0.205155,0.022118,0.162484,0.0005,conv,cub
33,2.196069,0.05839,0.223041,0.025096,0.172692,0.0005,conv,cub
34,2.192362,0.057338,0.223567,0.028073,0.176095,0.0005,conv,cub
35,2.220788,0.049974,0.200421,0.022969,0.164611,0.0005,conv,cub
36,2.208111,0.049448,0.193582,0.033177,0.175245,0.0005,conv,cub
37,2.210863,0.067333,0.239348,0.028499,0.181199,0.0005,conv,cub
38,2.202331,0.05839,0.20989,0.029349,0.184177,0.0005,conv,cub
39,2.215257,0.063651,0.219884,0.022544,0.162059,0.0005,conv,cub
40,2.195261,0.067859,0.239874,0.034028,0.193109,0.0005,conv,cub
41,2.218884,0.056812,0.227249,0.031051,0.195236,0.0005,conv,cub
42,2.187018,0.074698,0.27091,0.040408,0.215653,0.0005,conv,cub
43,2.186894,0.064177,0.23777,0.038707,0.218205,0.0005,conv,cub
44,2.187835,0.067859,0.244608,0.054445,0.240749,0.0005,conv,cub
45,2.197335,0.067859,0.251973,0.051893,0.235644,0.0005,conv,cub
46,2.181103,0.077854,0.27617,0.055296,0.264143,0.0005,conv,cub
47,2.173446,0.094687,0.310889,0.052744,0.269672,0.0005,conv,cub
48,2.179679,0.08364,0.293004,0.056997,0.266695,0.0005,conv,cub
49,2.171384,0.094161,0.314045,0.047214,0.242025,0.0005,conv,cub
50,2.187347,0.086796,0.29616,0.059549,0.274777,0.0005,conv,cub
51,2.246685,0.078906,0.283535,0.05402,0.230115,0.0005,conv,cub
52,2.199623,0.092057,0.30142,0.059974,0.279881,0.0005,conv,cub
53,2.176465,0.099947,0.345608,0.060825,0.289664,0.0005,conv,cub
54,2.170765,0.096791,0.34666,0.061251,0.29732,0.0005,conv,cub
55,2.168941,0.087849,0.337717,0.06678,0.320289,0.0005,conv,cub
56,2.193503,0.109416,0.364019,0.059974,0.294343,0.0005,conv,cub
57,2.191311,0.097843,0.352446,0.074436,0.318588,0.0005,conv,cub
58,2.166336,0.10626,0.364545,0.068481,0.319013,0.0005,conv,cub
59,2.168202,0.119937,0.391899,0.068481,0.313909,0.0005,conv,cub
60,2.164364,0.115203,0.386639,0.065929,0.313909,0.0005,conv,cub
61,2.163182,0.10889,0.369279,0.083369,0.338579,0.0005,conv,cub
62,2.153326,0.115203,0.392425,0.079115,0.34496,0.0005,conv,cub
63,2.158801,0.118359,0.3798,0.074862,0.33943,0.0005,conv,cub
64,2.154152,0.121515,0.414519,0.076989,0.347512,0.0005,conv,cub
65,2.14739,0.125197,0.400842,0.076989,0.347086,0.0005,conv,cub
66,2.154085,0.126249,0.402946,0.071034,0.339005,0.0005,conv,cub
67,2.156235,0.120463,0.401894,0.082093,0.354743,0.0005,conv,cub
68,2.151572,0.128353,0.433456,0.080817,0.355593,0.0005,conv,cub
69,2.153391,0.132562,0.414519,0.076563,0.332199,0.0005,conv,cub
70,2.151969,0.125723,0.42767,0.068056,0.323692,0.0005,conv,cub
71,2.162667,0.126775,0.422409,0.074436,0.333475,0.0005,conv,cub
72,2.146726,0.133614,0.430826,0.082093,0.353041,0.0005,conv,cub
73,2.150282,0.11415,0.409258,0.080817,0.339855,0.0005,conv,cub
74,2.159749,0.118359,0.396633,0.085496,0.358571,0.0005,conv,cub
75,2.174679,0.102578,0.386639,0.084645,0.321565,0.0005,conv,cub
76,2.165499,0.11152,0.379274,0.079966,0.348788,0.0005,conv,cub
77,2.185923,0.124671,0.41031,0.093152,0.347937,0.0005,conv,cub
78,2.156718,0.124671,0.445555,0.09698,0.347937,0.0005,conv,cub
79,2.155856,0.100999,0.374014,0.088048,0.355593,0.0005,conv,cub
80,2.154565,0.13151,0.431352,0.094428,0.352616,0.0005,conv,cub
81,2.183826,0.054182,0.196739,0.075712,0.296044,0.0005,conv,cub
82,2.166742,0.109942,0.416623,0.098256,0.354743,0.0005,conv,cub
83,2.143927,0.144135,0.457128,0.101234,0.366227,0.0005,conv,cub
84,2.142843,0.137822,0.458706,0.105912,0.373883,0.0005,conv,cub
85,2.146276,0.130984,0.443977,0.097405,0.370906,0.0005,conv,cub
86,2.145206,0.134666,0.450815,0.11527,0.38154,0.0005,conv,cub
87,2.174539,0.142557,0.454498,0.111867,0.381114,0.0005,conv,cub
88,2.144611,0.151499,0.470279,0.113569,0.386644,0.0005,conv,cub
89,2.136892,0.147291,0.468701,0.099532,0.361974,0.0005,conv,cub
90,2.153212,0.132562,0.446607,0.107614,0.363675,0.0005,conv,cub
91,2.13583,0.157812,0.489216,0.108464,0.374734,0.0005,conv,cub
92,2.154617,0.149395,0.469753,0.117822,0.38239,0.0005,conv,cub
93,2.136614,0.152025,0.493425,0.102084,0.3641,0.0005,conv,cub
94,2.144817,0.132562,0.442399,0.108039,0.354743,0.0005,conv,cub
95,2.165257,0.119411,0.419253,0.092301,0.348362,0.0005,conv,cub
96,2.136446,0.146239,0.475539,0.10251,0.366227,0.0005,conv,cub
97,2.131217,0.150447,0.489216,0.107614,0.36963,0.0005,conv,cub
98,2.125802,0.16728,0.491846,0.106763,0.373883,0.0005,conv,cub
99,2.129224,0.143609,0.455024,0.117397,0.3943,0.0005,conv,cub
100,2.124127,0.16728,0.480274,0.105912,0.365376,0.0005,conv,cub
101,2.136411,0.152551,0.49132,0.102935,0.362824,0.0005,conv,cub
102,2.136455,0.146239,0.476065,0.109315,0.382816,0.0005,conv,cub
103,2.226493,0.05576,0.19516,0.055721,0.256061,0.0005,conv,cub
104,2.1824,0.124145,0.429774,0.097831,0.360698,0.0005,conv,cub
