epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,18.571697,0.021293,0.059316,0.060792,0.190184,0.0005,conv,flowers
2,4.005639,0.021293,0.152091,0.060792,0.190184,0.0005,conv,flowers
3,2.513472,0.009125,0.043346,0.022867,0.239822,0.0005,conv,flowers
4,2.462573,0.037262,0.098859,0.022867,0.184049,0.0005,conv,flowers
5,2.357184,0.009125,0.064639,0.022867,0.272727,0.0005,conv,flowers
6,2.906384,0.009125,0.069962,0.022867,0.341885,0.0005,conv,flowers
7,2.509728,0.014449,0.04943,0.022867,0.294479,0.0005,conv,flowers
8,2.578388,0.012928,0.08289,0.022867,0.307306,0.0005,conv,flowers
9,2.48358,0.009125,0.061597,0.022867,0.307306,0.0005,conv,flowers
10,2.683463,0.01749,0.101901,0.022867,0.341885,0.0005,conv,flowers
11,2.510117,0.042586,0.161217,0.022867,0.341327,0.0005,conv,flowers
12,2.493813,0.01673,0.10038,0.022867,0.341885,0.0005,conv,flowers
13,2.898782,0.01749,0.159696,0.022867,0.341885,0.0005,conv,flowers
14,2.298859,0.043346,0.195437,0.022867,0.261015,0.0005,conv,flowers
15,2.30848,0.063118,0.143726,0.022867,0.318461,0.0005,conv,flowers
16,2.305487,0.026616,0.137643,0.022867,0.287786,0.0005,conv,flowers
17,2.288362,0.034981,0.149049,0.022867,0.248745,0.0005,conv,flowers
18,2.302808,0.038783,0.144487,0.022867,0.259342,0.0005,conv,flowers
19,2.265361,0.054753,0.136882,0.022867,0.239264,0.0005,conv,flowers
20,2.243056,0.063118,0.213688,0.022867,0.252091,0.0005,conv,flowers
21,2.248376,0.061597,0.246388,0.022867,0.268265,0.0005,conv,flowers
22,2.244635,0.059316,0.23346,0.022867,0.238148,0.0005,conv,flowers
23,2.206161,0.070722,0.26692,0.022867,0.307864,0.0005,conv,flowers
24,2.230553,0.08289,0.251711,0.020078,0.316788,0.0005,conv,flowers
25,2.226407,0.082129,0.274525,0.022309,0.302287,0.0005,conv,flowers
26,2.214788,0.086692,0.276806,0.034579,0.330173,0.0005,conv,flowers
27,2.234046,0.095057,0.275285,0.050753,0.346347,0.0005,conv,flowers
28,2.207264,0.09962,0.292776,0.055215,0.331846,0.0005,conv,flowers
29,2.189482,0.111027,0.293536,0.060234,0.32348,0.0005,conv,flowers
30,2.239744,0.09962,0.301901,0.054657,0.36029,0.0005,conv,flowers
31,2.179453,0.11711,0.306464,0.051311,0.363636,0.0005,conv,flowers
32,2.231498,0.106464,0.312548,0.050753,0.385945,0.0005,conv,flowers
33,2.190324,0.117871,0.293536,0.073062,0.383714,0.0005,conv,flowers
34,2.343089,0.110266,0.295817,0.120468,0.399331,0.0005,conv,flowers
35,2.16896,0.130038,0.328517,0.123815,0.375906,0.0005,conv,flowers
36,2.183658,0.109506,0.335361,0.139431,0.38483,0.0005,conv,flowers
37,2.228763,0.115589,0.365019,0.141104,0.398215,0.0005,conv,flowers
38,2.167578,0.119392,0.342966,0.110429,0.388176,0.0005,conv,flowers
39,2.316498,0.129278,0.394677,0.153932,0.39208,0.0005,conv,flowers
40,2.155537,0.13384,0.371103,0.157836,0.407697,0.0005,conv,flowers
41,2.195407,0.107985,0.356654,0.145566,0.392638,0.0005,conv,flowers
42,2.22717,0.097338,0.349049,0.12995,0.401004,0.0005,conv,flowers
43,2.170921,0.123194,0.339163,0.136642,0.389849,0.0005,conv,flowers
44,2.207915,0.126236,0.422053,0.167875,0.421082,0.0005,conv,flowers
45,2.185852,0.108745,0.374144,0.162856,0.37981,0.0005,conv,flowers
46,2.217755,0.104943,0.389354,0.134412,0.417178,0.0005,conv,flowers
47,2.180806,0.107985,0.374144,0.152817,0.366983,0.0005,conv,flowers
48,2.349087,0.145247,0.424335,0.08087,0.391523,0.0005,conv,flowers
49,2.142711,0.127757,0.413688,0.089236,0.370329,0.0005,conv,flowers
50,2.162427,0.11711,0.387072,0.10541,0.353597,0.0005,conv,flowers
51,2.38953,0.107224,0.38251,0.095929,0.336866,0.0005,conv,flowers
52,2.1627,0.136122,0.418251,0.096486,0.336866,0.0005,conv,flowers
53,2.488937,0.086692,0.261597,0.113218,0.329057,0.0005,conv,flowers
54,3.163957,0.06692,0.225095,0.156721,0.319018,0.0005,conv,flowers
55,2.252276,0.104943,0.351331,0.116007,0.281093,0.0005,conv,flowers
56,2.504796,0.054753,0.231179,0.102064,0.331288,0.0005,conv,flowers
57,2.435752,0.077567,0.308745,0.118795,0.336308,0.0005,conv,flowers
58,2.778792,0.063118,0.276806,0.098717,0.350809,0.0005,conv,flowers
59,2.224473,0.103422,0.339163,0.078081,0.296709,0.0005,conv,flowers
60,2.182352,0.120152,0.364259,0.112103,0.278305,0.0005,conv,flowers
61,2.128348,0.144487,0.423574,0.11266,0.290574,0.0005,conv,flowers
62,2.149298,0.149049,0.438023,0.105968,0.293363,0.0005,conv,flowers
63,2.132854,0.155894,0.441065,0.107083,0.31121,0.0005,conv,flowers
64,2.159139,0.161977,0.435741,0.107083,0.312883,0.0005,conv,flowers
65,2.107227,0.170342,0.476046,0.109314,0.317903,0.0005,conv,flowers
66,2.108622,0.168821,0.475285,0.101506,0.320134,0.0005,conv,flowers
67,2.148243,0.177947,0.473764,0.099833,0.326827,0.0005,conv,flowers
68,2.092193,0.172624,0.477567,0.109872,0.32348,0.0005,conv,flowers
69,2.15542,0.18251,0.474525,0.095929,0.326269,0.0005,conv,flowers
