epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,88.759213,0.005073,0.025364,,,0.0001,fc,cub
2,8.545582,0.005073,0.025364,,,0.0001,fc,cub
3,7.665972,0.005073,0.024518,,,0.0001,fc,cub
4,7.132517,0.005073,0.024518,,,0.0001,fc,cub
5,6.925335,0.005073,0.023842,,,0.0001,fc,cub
6,6.800801,0.005073,0.023842,,,0.0001,fc,cub
7,6.741019,0.005073,0.028069,,,0.0001,fc,cub
8,6.698515,0.005073,0.025364,,,0.0001,fc,cub
9,6.664046,0.005073,0.026885,,,0.0001,fc,cub
10,6.638144,0.005073,0.02604,,,0.0001,fc,cub
11,6.614073,0.005073,0.025364,,,0.0001,fc,cub
12,6.589925,0.005073,0.025364,,,0.0001,fc,cub
13,6.569737,0.005073,0.025364,,,0.0001,fc,cub
14,6.550729,0.005073,0.025364,,,0.0001,fc,cub
15,6.53369,0.005073,0.025364,,,0.0001,fc,cub
16,6.519909,0.005073,0.025364,,,0.0001,fc,cub
17,6.506997,0.005073,0.025364,,,0.0001,fc,cub
18,6.496519,0.005073,0.028069,,,0.0001,fc,cub
19,6.487275,0.005749,0.027054,,,0.0001,fc,cub
20,6.476899,0.005073,0.025533,,,0.0001,fc,cub
21,6.474127,0.005073,0.026209,,,0.0001,fc,cub
22,6.462578,0.007271,0.025364,,,0.0001,fc,cub
23,6.459534,0.007778,0.029929,,,0.0001,fc,cub
24,6.452804,0.009976,0.025364,,,0.0001,fc,cub
25,6.447078,0.009469,0.026378,,,0.0001,fc,cub
26,6.443628,0.005073,0.026547,,,0.0001,fc,cub
27,6.437632,0.006256,0.02976,,,0.0001,fc,cub
28,6.433866,0.014711,0.031451,,,0.0001,fc,cub
29,6.430593,0.007102,0.036693,,,0.0001,fc,cub
30,6.421525,0.008285,0.043118,,,0.0001,fc,cub
31,6.416075,0.013358,0.058674,,,0.0001,fc,cub
32,6.406552,0.018431,0.065945,,,0.0001,fc,cub
33,6.391397,0.017078,0.062394,,,0.0001,fc,cub
34,6.361104,0.012851,0.058167,,,0.0001,fc,cub
35,6.290185,0.012175,0.056138,,,0.0001,fc,cub
36,6.1493,0.014711,0.061549,,,0.0001,fc,cub
37,6.001037,0.017247,0.092492,,,0.0001,fc,cub
38,5.902281,0.017585,0.106189,,,0.0001,fc,cub
39,5.831024,0.027224,0.114474,,,0.0001,fc,cub
40,5.76822,0.032804,0.126987,,,0.0001,fc,cub
41,5.713346,0.03348,0.13933,,,0.0001,fc,cub
42,5.66076,0.040074,0.160467,,,0.0001,fc,cub
43,5.610694,0.039567,0.162327,,,0.0001,fc,cub
44,5.55863,0.042442,0.184308,,,0.0001,fc,cub
45,5.50065,0.049036,0.20257,,,0.0001,fc,cub
46,5.438735,0.051573,0.208319,,,0.0001,fc,cub
47,5.360902,0.05952,0.231485,,,0.0001,fc,cub
48,5.2711,0.06696,0.248563,,,0.0001,fc,cub
49,5.169403,0.06882,0.253974,,,0.0001,fc,cub
50,5.074219,0.070511,0.272743,,,0.0001,fc,cub
51,4.991923,0.077612,0.285932,,,0.0001,fc,cub
52,4.919913,0.083023,0.29929,,,0.0001,fc,cub
53,4.862169,0.08928,0.312648,,,0.0001,fc,cub
54,4.811301,0.100609,0.328712,,,0.0001,fc,cub
55,4.769163,0.103483,0.34021,,,0.0001,fc,cub
56,4.718404,0.113967,0.350862,,,0.0001,fc,cub
57,4.677736,0.112276,0.367602,,,0.0001,fc,cub
58,4.631868,0.119209,0.376733,,,0.0001,fc,cub
59,4.584522,0.123943,0.378255,,,0.0001,fc,cub
60,4.546903,0.127832,0.406324,,,0.0001,fc,cub
61,4.49444,0.134596,0.411904,,,0.0001,fc,cub
62,4.441849,0.143558,0.431857,,,0.0001,fc,cub
63,4.388558,0.141359,0.440987,,,0.0001,fc,cub
64,4.350152,0.151505,0.456544,,,0.0001,fc,cub
65,4.297575,0.155225,0.471593,,,0.0001,fc,cub
66,4.24383,0.165032,0.486135,,,0.0001,fc,cub
67,4.199023,0.168752,0.501691,,,0.0001,fc,cub
68,4.141992,0.180419,0.513527,,,0.0001,fc,cub
69,4.092133,0.182448,0.525533,,,0.0001,fc,cub
70,4.038951,0.19327,0.542949,,,0.0001,fc,cub
71,3.984822,0.199527,0.547514,,,0.0001,fc,cub
72,3.930218,0.204261,0.556138,,,0.0001,fc,cub
73,3.88865,0.214406,0.569665,,,0.0001,fc,cub
74,3.825128,0.228779,0.584714,,,0.0001,fc,cub
75,3.772823,0.231485,0.582854,,,0.0001,fc,cub
76,3.725916,0.24349,0.595198,,,0.0001,fc,cub
77,3.67629,0.247379,0.600101,,,0.0001,fc,cub
78,3.632069,0.251268,0.613629,,,0.0001,fc,cub
79,3.585248,0.258708,0.619547,,,0.0001,fc,cub
80,3.552843,0.271052,0.625465,,,0.0001,fc,cub
81,3.503583,0.273926,0.626649,,,0.0001,fc,cub
82,3.455095,0.277139,0.639161,,,0.0001,fc,cub
83,3.408453,0.287115,0.641698,,,0.0001,fc,cub
84,3.364925,0.291512,0.648799,,,0.0001,fc,cub
85,3.332146,0.295401,0.651505,,,0.0001,fc,cub
86,3.292752,0.296246,0.652689,,,0.0001,fc,cub
87,3.256908,0.309435,0.657254,,,0.0001,fc,cub
88,3.22009,0.308421,0.660467,,,0.0001,fc,cub
