epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,57.441789,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
2,8.063172,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
3,6.856127,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
4,6.597746,0.006312,0.032088,0.025521,0.118248,0.0001,fc,cub
5,6.494133,0.006312,0.031036,0.025521,0.118248,0.0001,fc,cub
6,6.443121,0.006312,0.031562,0.017439,0.118248,0.0001,fc,cub
7,6.404125,0.006312,0.035245,0.017439,0.118248,0.0001,fc,cub
8,6.373417,0.006312,0.031562,0.017439,0.118248,0.0001,fc,cub
9,6.348212,0.006312,0.031562,0.017439,0.118248,0.0001,fc,cub
10,6.328151,0.006312,0.031562,0.017439,0.118248,0.0001,fc,cub
11,6.310731,0.006312,0.032088,0.017439,0.118248,0.0001,fc,cub
12,6.296393,0.006312,0.031562,0.017439,0.118248,0.0001,fc,cub
13,6.283523,0.006312,0.035771,0.017439,0.118248,0.0001,fc,cub
14,6.272255,0.011573,0.031562,0.017439,0.118248,0.0001,fc,cub
15,6.262814,0.006312,0.037349,0.017439,0.118248,0.0001,fc,cub
16,6.253522,0.006312,0.032088,0.017439,0.118248,0.0001,fc,cub
17,6.245775,0.010521,0.046817,0.017439,0.118248,0.0001,fc,cub
18,6.237022,0.010521,0.038401,0.017439,0.118248,0.0001,fc,cub
19,6.231204,0.006312,0.040505,0.017439,0.118248,0.0001,fc,cub
20,6.223013,0.017885,0.046291,0.017439,0.118248,0.0001,fc,cub
21,6.214476,0.018411,0.062073,0.017439,0.118248,0.0001,fc,cub
22,6.204797,0.029458,0.075224,0.017439,0.118248,0.0001,fc,cub
23,6.192537,0.021042,0.07838,0.017865,0.118248,0.0001,fc,cub
24,6.165432,0.026828,0.082588,0.018715,0.118673,0.0001,fc,cub
25,6.098251,0.035771,0.092583,0.019991,0.135262,0.0001,fc,cub
26,5.915074,0.031562,0.107312,0.02467,0.148022,0.0001,fc,cub
27,5.67852,0.031036,0.127301,0.028073,0.192684,0.0001,fc,cub
28,5.539825,0.031036,0.138874,0.025521,0.23054,0.0001,fc,cub
29,5.451412,0.034193,0.157812,0.0302,0.243726,0.0001,fc,cub
30,5.383271,0.034719,0.186218,0.031051,0.251382,0.0001,fc,cub
31,5.325084,0.039979,0.203577,0.037431,0.261591,0.0001,fc,cub
32,5.274773,0.051552,0.225145,0.037006,0.260315,0.0001,fc,cub
33,5.222784,0.063651,0.244082,0.041684,0.262867,0.0001,fc,cub
34,5.166317,0.069963,0.270384,0.052318,0.267546,0.0001,fc,cub
35,5.08889,0.077854,0.297212,0.065079,0.270523,0.0001,fc,cub
36,4.97391,0.082588,0.327196,0.065079,0.289239,0.0001,fc,cub
37,4.80161,0.095739,0.372436,0.063803,0.306678,0.0001,fc,cub
38,4.62627,0.127301,0.411362,0.065504,0.319013,0.0001,fc,cub
39,4.495397,0.130458,0.433456,0.075287,0.328796,0.0001,fc,cub
40,4.392306,0.146239,0.467123,0.076563,0.331774,0.0001,fc,cub
41,4.29534,0.155708,0.486586,0.077414,0.337729,0.0001,fc,cub
42,4.215613,0.179905,0.513414,0.076989,0.343258,0.0001,fc,cub
43,4.147404,0.183062,0.540768,0.075287,0.344534,0.0001,fc,cub
44,4.08726,0.173593,0.556023,0.076138,0.350915,0.0001,fc,cub
45,4.029696,0.191478,0.559705,0.078265,0.353041,0.0001,fc,cub
46,3.972601,0.201473,0.575487,0.079541,0.35134,0.0001,fc,cub
47,3.92777,0.210942,0.597054,0.076989,0.353041,0.0001,fc,cub
48,3.869956,0.21515,0.59232,0.078265,0.353892,0.0001,fc,cub
49,3.828162,0.228827,0.605471,0.078265,0.350064,0.0001,fc,cub
50,3.781155,0.2404,0.610731,0.077414,0.347086,0.0001,fc,cub
51,3.737775,0.246186,0.623356,0.076989,0.347512,0.0001,fc,cub
52,3.690039,0.263019,0.630721,0.079541,0.349638,0.0001,fc,cub
53,3.641777,0.267754,0.638611,0.077414,0.350064,0.0001,fc,cub
54,3.598577,0.27091,0.647554,0.079966,0.351765,0.0001,fc,cub
55,3.546024,0.283009,0.648606,0.080391,0.353467,0.0001,fc,cub
56,3.512646,0.294582,0.664913,0.079541,0.356019,0.0001,fc,cub
57,3.440285,0.310363,0.68122,0.079966,0.352616,0.0001,fc,cub
58,3.388977,0.320358,0.685429,0.083369,0.354743,0.0001,fc,cub
59,3.337135,0.320358,0.684377,0.079966,0.354317,0.0001,fc,cub
60,3.304953,0.327196,0.698054,0.082943,0.357295,0.0001,fc,cub
61,3.250128,0.333509,0.711205,0.084219,0.362399,0.0001,fc,cub
62,3.199113,0.345082,0.709627,0.082093,0.362399,0.0001,fc,cub
63,3.15026,0.35192,0.717517,0.083794,0.362399,0.0001,fc,cub
64,3.105861,0.358233,0.722777,0.085921,0.365376,0.0001,fc,cub
65,3.065642,0.371383,0.728038,0.085496,0.368779,0.0001,fc,cub
66,3.022436,0.376644,0.732772,0.08507,0.368779,0.0001,fc,cub
67,2.982866,0.387165,0.740137,0.088473,0.370055,0.0001,fc,cub
68,2.944956,0.384534,0.749605,0.088898,0.371331,0.0001,fc,cub
69,2.901914,0.399264,0.754866,0.092726,0.374734,0.0001,fc,cub
70,2.861807,0.408206,0.75697,0.094853,0.377712,0.0001,fc,cub
71,2.823527,0.395055,0.762756,0.096129,0.378137,0.0001,fc,cub
72,2.786718,0.409784,0.765913,0.095704,0.378988,0.0001,fc,cub
73,2.749427,0.406102,0.775907,0.095704,0.383241,0.0001,fc,cub
74,2.714925,0.418201,0.778012,0.099107,0.385793,0.0001,fc,cub
75,2.682191,0.426092,0.783798,0.099957,0.38792,0.0001,fc,cub
76,2.643608,0.433456,0.786428,0.101659,0.390472,0.0001,fc,cub
77,2.614584,0.440295,0.791163,0.101659,0.384943,0.0001,fc,cub
78,2.577558,0.437664,0.794845,0.102935,0.388771,0.0001,fc,cub
79,2.543558,0.445555,0.797475,0.105912,0.390472,0.0001,fc,cub
80,2.51067,0.444503,0.798527,0.105912,0.394726,0.0001,fc,cub
81,2.483735,0.451341,0.801157,0.10336,0.391748,0.0001,fc,cub
82,2.448557,0.45555,0.803261,0.104636,0.396427,0.0001,fc,cub
83,2.414125,0.459232,0.809048,0.105912,0.393875,0.0001,fc,cub
84,2.381502,0.460284,0.804314,0.10336,0.396427,0.0001,fc,cub
85,2.353059,0.465018,0.809574,0.106763,0.397278,0.0001,fc,cub
86,2.326915,0.461862,0.811678,0.108039,0.401957,0.0001,fc,cub
87,2.299476,0.468701,0.8101,0.108464,0.403658,0.0001,fc,cub
88,2.262672,0.477643,0.809574,0.105912,0.398979,0.0001,fc,cub
89,2.239191,0.473961,0.817991,0.106338,0.407912,0.0001,fc,cub
90,2.203753,0.477117,0.817991,0.108464,0.404083,0.0001,fc,cub
91,2.18,0.483956,0.820621,0.108464,0.403658,0.0001,fc,cub
92,2.150264,0.488164,0.824829,0.106338,0.408762,0.0001,fc,cub
93,2.123565,0.488164,0.821673,0.106763,0.409613,0.0001,fc,cub
94,2.094375,0.495003,0.825881,0.10889,0.408762,0.0001,fc,cub
95,2.072621,0.495529,0.825881,0.112293,0.408762,0.0001,fc,cub
96,2.046571,0.498685,0.831142,0.109741,0.412165,0.0001,fc,cub
97,2.018989,0.499211,0.834298,0.111017,0.414717,0.0001,fc,cub
98,1.997168,0.501315,0.831142,0.109315,0.410464,0.0001,fc,cub
99,1.966233,0.509206,0.833246,0.109741,0.413441,0.0001,fc,cub
100,1.945838,0.509206,0.837454,0.108039,0.413441,0.0001,fc,cub
101,1.918637,0.510784,0.841136,0.110166,0.411314,0.0001,fc,cub
102,1.89204,0.509732,0.839558,0.10889,0.413441,0.0001,fc,cub
103,1.867973,0.509206,0.843766,0.110166,0.415568,0.0001,fc,cub
104,1.843728,0.51394,0.845345,0.107188,0.416419,0.0001,fc,cub
105,1.818105,0.511836,0.842188,0.107614,0.412165,0.0001,fc,cub
106,1.795044,0.512888,0.846397,0.108464,0.427478,0.0001,fc,cub
107,1.774571,0.509206,0.852709,0.108039,0.423224,0.0001,fc,cub
108,1.754604,0.514466,0.845871,0.108039,0.430455,0.0001,fc,cub
109,1.733842,0.516044,0.847975,0.106763,0.424075,0.0001,fc,cub
110,1.705353,0.514992,0.848501,0.110166,0.426627,0.0001,fc,cub
111,1.6892,0.51394,0.850079,0.108464,0.4245,0.0001,fc,cub
112,1.661385,0.513414,0.848501,0.108464,0.427052,0.0001,fc,cub
113,1.641415,0.517096,0.849027,0.10889,0.427478,0.0001,fc,cub
114,1.62069,0.522357,0.849553,0.107614,0.427052,0.0001,fc,cub
115,1.597661,0.5192,0.850079,0.110591,0.428328,0.0001,fc,cub
