epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,65.298006,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
2,7.505222,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
3,6.60442,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
4,6.32068,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
5,6.222767,0.006312,0.03051,0.025521,0.118248,0.0001,fc,cub
6,6.202627,0.006312,0.03051,0.025521,0.119098,0.0001,fc,cub
7,6.19088,0.006312,0.031036,0.025521,0.119524,0.0001,fc,cub
8,6.178501,0.00526,0.03051,0.025521,0.119524,0.0001,fc,cub
9,6.165464,0.00526,0.028932,0.025521,0.119098,0.0001,fc,cub
10,6.153129,0.00526,0.028932,0.025521,0.120374,0.0001,fc,cub
11,6.141083,0.006312,0.029458,0.025521,0.118248,0.0001,fc,cub
12,6.131489,0.006312,0.032614,0.025521,0.120374,0.0001,fc,cub
13,6.121229,0.006312,0.038927,0.025521,0.119524,0.0001,fc,cub
14,6.112927,0.006312,0.038927,0.025521,0.119524,0.0001,fc,cub
15,6.105335,0.010521,0.042609,0.025521,0.119524,0.0001,fc,cub
16,6.099512,0.012099,0.039453,0.025521,0.119524,0.0001,fc,cub
17,6.095517,0.008943,0.046291,0.025521,0.119524,0.0001,fc,cub
18,6.090758,0.008417,0.043661,0.025521,0.119524,0.0001,fc,cub
19,6.087251,0.008943,0.042609,0.025521,0.119524,0.0001,fc,cub
20,6.084708,0.011047,0.044187,0.025521,0.119524,0.0001,fc,cub
21,6.082994,0.013151,0.045765,0.025521,0.119098,0.0001,fc,cub
22,6.080139,0.014203,0.046817,0.025521,0.119098,0.0001,fc,cub
23,6.07842,0.012099,0.045765,0.025521,0.119524,0.0001,fc,cub
24,6.074527,0.011573,0.049448,0.025521,0.119098,0.0001,fc,cub
25,6.070825,0.013677,0.052078,0.025521,0.118673,0.0001,fc,cub
26,6.066353,0.008943,0.065755,0.025521,0.118673,0.0001,fc,cub
27,6.059573,0.012625,0.064703,0.025521,0.12718,0.0001,fc,cub
28,6.048288,0.020516,0.084692,0.025521,0.134836,0.0001,fc,cub
29,6.023152,0.019463,0.112046,0.026797,0.142067,0.0001,fc,cub
30,5.95818,0.022094,0.101526,0.02467,0.151425,0.0001,fc,cub
31,5.819736,0.02525,0.10889,0.025096,0.150574,0.0001,fc,cub
32,5.659531,0.032088,0.114676,0.025521,0.189707,0.0001,fc,cub
33,5.557913,0.032614,0.130984,0.029349,0.208422,0.0001,fc,cub
34,5.495747,0.035245,0.152025,0.038282,0.219906,0.0001,fc,cub
35,5.446831,0.037349,0.158338,0.045513,0.223735,0.0001,fc,cub
36,5.407198,0.038401,0.170437,0.049766,0.228413,0.0001,fc,cub
37,5.367323,0.041557,0.178327,0.052318,0.232242,0.0001,fc,cub
38,5.328793,0.040505,0.180957,0.054445,0.238197,0.0001,fc,cub
39,5.288458,0.044187,0.19516,0.058273,0.235644,0.0001,fc,cub
40,5.245056,0.04787,0.205681,0.0604,0.241599,0.0001,fc,cub
41,5.195944,0.056812,0.211994,0.063803,0.24883,0.0001,fc,cub
42,5.140538,0.054708,0.235665,0.07316,0.253934,0.0001,fc,cub
43,5.080046,0.052604,0.254077,0.075712,0.263292,0.0001,fc,cub
44,5.012584,0.059968,0.262493,0.076563,0.281582,0.0001,fc,cub
45,4.943786,0.061021,0.285639,0.074436,0.29094,0.0001,fc,cub
46,4.874484,0.062073,0.295108,0.075712,0.296895,0.0001,fc,cub
47,4.815085,0.069437,0.306155,0.076138,0.287112,0.0001,fc,cub
48,4.759188,0.075224,0.322462,0.080817,0.295194,0.0001,fc,cub
49,4.708575,0.072593,0.320358,0.083369,0.29647,0.0001,fc,cub
50,4.66753,0.079432,0.347186,0.086772,0.292641,0.0001,fc,cub
51,4.625101,0.084166,0.346134,0.086346,0.298171,0.0001,fc,cub
52,4.59059,0.101526,0.365071,0.0906,0.295619,0.0001,fc,cub
53,4.554992,0.097317,0.37191,0.089749,0.302425,0.0001,fc,cub
54,4.525059,0.094687,0.375592,0.092726,0.307529,0.0001,fc,cub
55,4.503763,0.101526,0.381904,0.094428,0.30285,0.0001,fc,cub
56,4.470734,0.096265,0.391373,0.095704,0.306678,0.0001,fc,cub
57,4.448662,0.095213,0.397685,0.094853,0.307529,0.0001,fc,cub
58,4.425966,0.095213,0.397159,0.096129,0.306678,0.0001,fc,cub
59,4.403833,0.110994,0.400316,0.098256,0.308379,0.0001,fc,cub
60,4.383108,0.101526,0.40242,0.095279,0.310932,0.0001,fc,cub
61,4.362224,0.103104,0.414519,0.101234,0.307529,0.0001,fc,cub
62,4.342446,0.101526,0.413467,0.098256,0.310081,0.0001,fc,cub
63,4.322912,0.106786,0.415045,0.094853,0.311782,0.0001,fc,cub
64,4.302318,0.11152,0.422935,0.100383,0.307954,0.0001,fc,cub
65,4.284088,0.118359,0.425565,0.098681,0.314334,0.0001,fc,cub
66,4.266745,0.119411,0.43293,0.100383,0.30923,0.0001,fc,cub
67,4.245956,0.118359,0.440295,0.099957,0.312633,0.0001,fc,cub
68,4.225111,0.123093,0.445555,0.099107,0.317312,0.0001,fc,cub
69,4.20989,0.117833,0.456602,0.099107,0.319013,0.0001,fc,cub
70,4.199345,0.13677,0.457128,0.099957,0.321565,0.0001,fc,cub
71,4.170602,0.13677,0.46607,0.10336,0.322416,0.0001,fc,cub
72,4.150778,0.133088,0.472383,0.105062,0.325819,0.0001,fc,cub
73,4.141042,0.133614,0.477117,0.105487,0.327946,0.0001,fc,cub
74,4.129258,0.138348,0.475013,0.107188,0.331348,0.0001,fc,cub
75,4.102571,0.142557,0.484482,0.112293,0.330923,0.0001,fc,cub
76,4.093387,0.147817,0.489216,0.111442,0.334326,0.0001,fc,cub
77,4.068373,0.155708,0.496055,0.109741,0.337303,0.0001,fc,cub
78,4.053057,0.160442,0.506575,0.10889,0.339005,0.0001,fc,cub
79,4.033973,0.163598,0.51657,0.109741,0.341131,0.0001,fc,cub
80,4.016,0.167806,0.519726,0.111867,0.341131,0.0001,fc,cub
81,3.999373,0.171489,0.527617,0.111867,0.343684,0.0001,fc,cub
82,3.98524,0.170437,0.533403,0.114419,0.344109,0.0001,fc,cub
83,3.95653,0.175697,0.534982,0.115695,0.344534,0.0001,fc,cub
84,3.943738,0.186218,0.54708,0.116546,0.343258,0.0001,fc,cub
85,3.905493,0.18464,0.561284,0.118248,0.346236,0.0001,fc,cub
86,3.879415,0.194108,0.56707,0.117822,0.345385,0.0001,fc,cub
87,3.866783,0.21252,0.574961,0.116972,0.347512,0.0001,fc,cub
88,3.830049,0.209363,0.59232,0.119098,0.348362,0.0001,fc,cub
89,3.795573,0.215676,0.603893,0.119949,0.35134,0.0001,fc,cub
90,3.756995,0.226723,0.611783,0.120374,0.353467,0.0001,fc,cub
91,3.726962,0.228301,0.619674,0.119949,0.355168,0.0001,fc,cub
92,3.691868,0.236191,0.634929,0.12165,0.353467,0.0001,fc,cub
93,3.661162,0.236191,0.643346,0.119949,0.356869,0.0001,fc,cub
94,3.622607,0.24829,0.651762,0.119949,0.35772,0.0001,fc,cub
95,3.595588,0.264598,0.658075,0.120374,0.358996,0.0001,fc,cub
96,3.553249,0.261441,0.665965,0.11527,0.361974,0.0001,fc,cub
97,3.524944,0.272488,0.672804,0.117397,0.3641,0.0001,fc,cub
98,3.492893,0.279327,0.67859,0.114419,0.366227,0.0001,fc,cub
99,3.452575,0.275644,0.686481,0.113994,0.37516,0.0001,fc,cub
100,3.425864,0.284587,0.691215,0.116972,0.373033,0.0001,fc,cub
101,3.402582,0.2909,0.69858,0.115695,0.376436,0.0001,fc,cub
102,3.359391,0.301946,0.69858,0.118673,0.376861,0.0001,fc,cub
103,3.333632,0.297738,0.70384,0.119098,0.378562,0.0001,fc,cub
104,3.310363,0.308785,0.708048,0.120374,0.38154,0.0001,fc,cub
105,3.270598,0.315623,0.714887,0.117397,0.383667,0.0001,fc,cub
106,3.234377,0.328774,0.712783,0.119949,0.380689,0.0001,fc,cub
107,3.209171,0.330878,0.726986,0.118673,0.385793,0.0001,fc,cub
108,3.183499,0.331931,0.729616,0.120374,0.387495,0.0001,fc,cub
109,3.153029,0.337191,0.735402,0.1208,0.392174,0.0001,fc,cub
110,3.125746,0.350868,0.73435,0.123352,0.392174,0.0001,fc,cub
111,3.096713,0.353498,0.742767,0.1208,0.393024,0.0001,fc,cub
112,3.063595,0.362967,0.750132,0.123777,0.3943,0.0001,fc,cub
113,3.040759,0.367175,0.749079,0.123352,0.396852,0.0001,fc,cub
114,3.011228,0.372962,0.757496,0.1208,0.397278,0.0001,fc,cub
115,2.996238,0.372962,0.759074,0.12165,0.398128,0.0001,fc,cub
116,2.958532,0.377696,0.764861,0.122501,0.398128,0.0001,fc,cub
117,2.938297,0.38243,0.763282,0.123777,0.399405,0.0001,fc,cub
118,2.920972,0.381904,0.775907,0.124202,0.397703,0.0001,fc,cub
119,2.879243,0.396107,0.776433,0.124202,0.403658,0.0001,fc,cub
120,2.848672,0.396633,0.784324,0.124202,0.405359,0.0001,fc,cub
121,2.824668,0.403998,0.783798,0.123352,0.402807,0.0001,fc,cub
122,2.81292,0.400842,0.782746,0.126329,0.405785,0.0001,fc,cub
123,2.775541,0.415045,0.789584,0.124628,0.407061,0.0001,fc,cub
124,2.758551,0.417149,0.789058,0.123352,0.406635,0.0001,fc,cub
125,2.728888,0.419779,0.795897,0.125479,0.408762,0.0001,fc,cub
126,2.708345,0.428196,0.800631,0.125479,0.41174,0.0001,fc,cub
127,2.683588,0.432404,0.806944,0.125053,0.413016,0.0001,fc,cub
128,2.657043,0.43556,0.811152,0.123777,0.415568,0.0001,fc,cub
129,2.635277,0.440295,0.811152,0.125479,0.415993,0.0001,fc,cub
130,2.610602,0.439243,0.811678,0.126755,0.419821,0.0001,fc,cub
131,2.591979,0.446081,0.814834,0.128881,0.422799,0.0001,fc,cub
132,2.56643,0.453446,0.814308,0.125904,0.42365,0.0001,fc,cub
133,2.54921,0.453446,0.823777,0.130157,0.425351,0.0001,fc,cub
134,2.518225,0.457128,0.821673,0.130157,0.424075,0.0001,fc,cub
135,2.498806,0.460284,0.821673,0.129307,0.43003,0.0001,fc,cub
136,2.4712,0.465544,0.827459,0.130583,0.432157,0.0001,fc,cub
137,2.459644,0.466597,0.830089,0.131008,0.437261,0.0001,fc,cub
138,2.433502,0.46607,0.829037,0.131433,0.438111,0.0001,fc,cub
139,2.416577,0.476065,0.833246,0.131008,0.436835,0.0001,fc,cub
140,2.390357,0.475539,0.833772,0.129307,0.435559,0.0001,fc,cub
141,2.378792,0.481852,0.83535,0.128456,0.441514,0.0001,fc,cub
142,2.355004,0.482904,0.837454,0.131008,0.442365,0.0001,fc,cub
143,2.332921,0.48869,0.841662,0.132709,0.444066,0.0001,fc,cub
144,2.319955,0.48869,0.840084,0.130583,0.442365,0.0001,fc,cub
145,2.300081,0.49132,0.841136,0.131433,0.444492,0.0001,fc,cub
146,2.283042,0.495003,0.842714,0.130583,0.444492,0.0001,fc,cub
147,2.268836,0.497633,0.844819,0.130157,0.445342,0.0001,fc,cub
148,2.249416,0.500789,0.849553,0.131859,0.44279,0.0001,fc,cub
149,2.23478,0.500263,0.843766,0.131008,0.447044,0.0001,fc,cub
150,2.215884,0.506049,0.846397,0.131433,0.447895,0.0001,fc,cub
151,2.195808,0.504471,0.854813,0.129307,0.44832,0.0001,fc,cub
152,2.185276,0.502893,0.852183,0.130157,0.447895,0.0001,fc,cub
153,2.172769,0.51394,0.849027,0.13356,0.448745,0.0001,fc,cub
154,2.150924,0.51394,0.854813,0.131008,0.447469,0.0001,fc,cub
155,2.137049,0.523935,0.855339,0.131433,0.449171,0.0001,fc,cub
156,2.122035,0.520252,0.856391,0.133986,0.447469,0.0001,fc,cub
157,2.111489,0.526039,0.862704,0.130583,0.449171,0.0001,fc,cub
158,2.091563,0.526039,0.859022,0.131433,0.450872,0.0001,fc,cub
159,2.087338,0.528669,0.856391,0.130583,0.449596,0.0001,fc,cub
160,2.066837,0.530247,0.856917,0.133986,0.450872,0.0001,fc,cub
161,2.04802,0.529721,0.860074,0.13356,0.448745,0.0001,fc,cub
162,2.041638,0.530773,0.864282,0.13356,0.451297,0.0001,fc,cub
163,2.022768,0.531299,0.863756,0.13356,0.450872,0.0001,fc,cub
164,2.004999,0.534456,0.864808,0.132284,0.449596,0.0001,fc,cub
165,1.99294,0.538138,0.869016,0.132709,0.450872,0.0001,fc,cub
166,1.980366,0.543398,0.864808,0.131859,0.451297,0.0001,fc,cub
167,1.965667,0.547607,0.864808,0.131433,0.451297,0.0001,fc,cub
168,1.95057,0.549185,0.866386,0.133135,0.449596,0.0001,fc,cub
169,1.937469,0.54708,0.869016,0.133986,0.450872,0.0001,fc,cub
170,1.926025,0.53919,0.870594,0.133986,0.450021,0.0001,fc,cub
171,1.920983,0.548659,0.872699,0.134836,0.450021,0.0001,fc,cub
172,1.904455,0.550763,0.86849,0.130583,0.453849,0.0001,fc,cub
173,1.887107,0.553393,0.872699,0.13356,0.451297,0.0001,fc,cub
174,1.87363,0.558127,0.872173,0.130157,0.451297,0.0001,fc,cub
175,1.866848,0.555497,0.870594,0.131433,0.450021,0.0001,fc,cub
176,1.851251,0.553919,0.874277,0.132284,0.453424,0.0001,fc,cub
