epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,92.756963,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
2,12.953026,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
3,7.938713,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
4,7.37232,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
5,6.92068,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
6,6.602745,0.006312,0.03051,0.025521,0.118248,0.0001,fc,cub
7,6.41295,0.006312,0.025776,0.017439,0.118248,0.0001,fc,cub
8,6.303476,0.006312,0.029984,0.017439,0.118248,0.0001,fc,cub
9,6.238146,0.006312,0.028406,0.017439,0.118248,0.0001,fc,cub
10,6.200202,0.006312,0.031036,0.017439,0.118248,0.0001,fc,cub
11,6.176957,0.006312,0.034719,0.017439,0.118248,0.0001,fc,cub
12,6.161997,0.006839,0.037349,0.017439,0.118248,0.0001,fc,cub
13,6.150321,0.008417,0.042083,0.017439,0.118248,0.0001,fc,cub
14,6.142065,0.011047,0.045765,0.017439,0.118248,0.0001,fc,cub
15,6.135787,0.011573,0.045239,0.017439,0.118248,0.0001,fc,cub
16,6.129003,0.011573,0.049448,0.017439,0.118248,0.0001,fc,cub
17,6.123606,0.012625,0.048396,0.017439,0.118248,0.0001,fc,cub
18,6.118424,0.011573,0.052604,0.017439,0.118248,0.0001,fc,cub
19,6.114873,0.011573,0.051552,0.017439,0.118248,0.0001,fc,cub
20,6.110893,0.011573,0.051026,0.017439,0.118248,0.0001,fc,cub
21,6.106934,0.012099,0.05576,0.017439,0.118248,0.0001,fc,cub
22,6.102143,0.011047,0.05576,0.017439,0.118248,0.0001,fc,cub
23,6.098296,0.013151,0.057338,0.017439,0.118248,0.0001,fc,cub
24,6.094031,0.013151,0.057864,0.017439,0.118248,0.0001,fc,cub
25,6.089409,0.015255,0.059968,0.017439,0.118248,0.0001,fc,cub
26,6.085956,0.014729,0.061547,0.017439,0.118248,0.0001,fc,cub
27,6.080322,0.013677,0.063651,0.017439,0.118248,0.0001,fc,cub
28,6.071929,0.015255,0.071015,0.017439,0.118248,0.0001,fc,cub
29,6.061946,0.016307,0.067333,0.017439,0.118673,0.0001,fc,cub
30,6.048584,0.017359,0.073645,0.017439,0.116972,0.0001,fc,cub
31,6.030295,0.018411,0.076276,0.017439,0.131433,0.0001,fc,cub
