epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,47.872585,0.016752,0.051954,,,0.0001,fc,flowers
2,12.445706,0.016752,0.051954,,,0.0001,fc,flowers
3,6.929797,0.016752,0.05244,,,0.0001,fc,flowers
4,5.712182,0.016752,0.05244,,,0.0001,fc,flowers
5,5.668094,0.016752,0.099539,,,0.0001,fc,flowers
6,5.476406,0.016752,0.126001,,,0.0001,fc,flowers
7,5.468613,0.03059,0.126001,,,0.0001,fc,flowers
8,5.445841,0.03059,0.124788,,,0.0001,fc,flowers
9,5.445667,0.03059,0.124788,,,0.0001,fc,flowers
10,5.44441,0.03059,0.131585,,,0.0001,fc,flowers
11,5.44226,0.03059,0.131585,,,0.0001,fc,flowers
12,5.445959,0.03059,0.131585,,,0.0001,fc,flowers
13,5.435871,0.03059,0.131585,,,0.0001,fc,flowers
14,5.43849,0.03059,0.131585,,,0.0001,fc,flowers
15,5.430391,0.03059,0.131585,,,0.0001,fc,flowers
16,5.430456,0.03059,0.131585,,,0.0001,fc,flowers
17,5.432637,0.03059,0.131585,,,0.0001,fc,flowers
18,5.425953,0.03059,0.131585,,,0.0001,fc,flowers
19,5.426309,0.03059,0.131585,,,0.0001,fc,flowers
20,5.423812,0.03059,0.131585,,,0.0001,fc,flowers
21,5.426653,0.03059,0.131585,,,0.0001,fc,flowers
22,5.421533,0.03059,0.131585,,,0.0001,fc,flowers
23,5.417416,0.036417,0.131585,,,0.0001,fc,flowers
24,5.41836,0.058267,0.131585,,,0.0001,fc,flowers
25,5.417472,0.052683,0.131585,,,0.0001,fc,flowers
26,5.429336,0.057781,0.131585,,,0.0001,fc,flowers
27,5.417549,0.057295,0.131585,,,0.0001,fc,flowers
28,5.429525,0.033746,0.131585,,,0.0001,fc,flowers
29,5.424054,0.033989,0.131585,,,0.0001,fc,flowers
30,5.420868,0.031561,0.131585,,,0.0001,fc,flowers
31,5.419305,0.031318,0.131585,,,0.0001,fc,flowers
32,5.419949,0.033503,0.131585,,,0.0001,fc,flowers
33,5.420246,0.034232,0.131585,,,0.0001,fc,flowers
34,5.416914,0.034232,0.131585,,,0.0001,fc,flowers
35,5.411625,0.033503,0.131585,,,0.0001,fc,flowers
36,5.407054,0.042729,0.131585,,,0.0001,fc,flowers
37,5.42488,0.042729,0.131585,,,0.0001,fc,flowers
38,5.420747,0.038359,0.131585,,,0.0001,fc,flowers
39,5.409655,0.036902,0.131585,,,0.0001,fc,flowers
40,5.411505,0.038602,0.131585,,,0.0001,fc,flowers
41,5.410241,0.040301,0.131585,,,0.0001,fc,flowers
42,5.400992,0.045399,0.131585,,,0.0001,fc,flowers
43,5.408241,0.047099,0.131585,,,0.0001,fc,flowers
44,5.40181,0.047827,0.136198,,,0.0001,fc,flowers
45,5.391936,0.049527,0.141782,,,0.0001,fc,flowers
46,5.383851,0.050255,0.143239,,,0.0001,fc,flowers
47,5.374827,0.057295,0.152464,,,0.0001,fc,flowers
48,5.363256,0.058509,0.16606,,,0.0001,fc,flowers
49,5.335545,0.059723,0.193979,,,0.0001,fc,flowers
50,5.293612,0.05948,0.211702,,,0.0001,fc,flowers
51,5.240302,0.06992,0.24302,,,0.0001,fc,flowers
52,5.164625,0.06992,0.241321,,,0.0001,fc,flowers
53,5.099393,0.069192,0.253945,,,0.0001,fc,flowers
54,5.04563,0.074047,0.266812,,,0.0001,fc,flowers
55,4.988917,0.084001,0.281136,,,0.0001,fc,flowers
56,4.958331,0.091527,0.292061,,,0.0001,fc,flowers
57,4.928534,0.097354,0.310512,,,0.0001,fc,flowers
58,4.873216,0.101481,0.32168,,,0.0001,fc,flowers
59,4.818767,0.10488,0.335033,,,0.0001,fc,flowers
60,4.773166,0.106094,0.348628,,,0.0001,fc,flowers
61,4.733727,0.112406,0.366837,,,0.0001,fc,flowers
62,4.684334,0.130614,0.386987,,,0.0001,fc,flowers
63,4.632957,0.138869,0.40471,,,0.0001,fc,flowers
64,4.574388,0.147123,0.422675,,,0.0001,fc,flowers
65,4.521226,0.154892,0.436756,,,0.0001,fc,flowers
66,4.470168,0.158291,0.44841,,,0.0001,fc,flowers
67,4.419155,0.167516,0.467346,,,0.0001,fc,flowers
68,4.368015,0.169701,0.471231,,,0.0001,fc,flowers
69,4.302831,0.17917,0.484098,,,0.0001,fc,flowers
70,4.239906,0.184025,0.492838,,,0.0001,fc,flowers
71,4.197143,0.191551,0.505705,,,0.0001,fc,flowers
72,4.148846,0.193979,0.511289,,,0.0001,fc,flowers
73,4.110245,0.205875,0.525613,,,0.0001,fc,flowers
74,4.06127,0.208303,0.536781,,,0.0001,fc,flowers
75,4.018264,0.209031,0.544064,,,0.0001,fc,flowers
76,3.980917,0.219714,0.549162,,,0.0001,fc,flowers
77,3.92712,0.22117,0.559359,,,0.0001,fc,flowers
78,3.894555,0.230639,0.563729,,,0.0001,fc,flowers
79,3.85259,0.237679,0.573926,,,0.0001,fc,flowers
80,3.821643,0.246662,0.579024,,,0.0001,fc,flowers
81,3.778501,0.250061,0.587521,,,0.0001,fc,flowers
82,3.769404,0.2605,0.593348,,,0.0001,fc,flowers
83,3.720501,0.263413,0.596504,,,0.0001,fc,flowers
84,3.695323,0.269726,0.60403,,,0.0001,fc,flowers
85,3.6469,0.275795,0.606701,,,0.0001,fc,flowers
86,3.631287,0.281379,0.616412,,,0.0001,fc,flowers
87,3.593786,0.287448,0.624181,,,0.0001,fc,flowers
88,3.558625,0.291576,0.632192,,,0.0001,fc,flowers
89,3.545675,0.296674,0.637048,,,0.0001,fc,flowers
90,3.513419,0.301772,0.643603,,,0.0001,fc,flowers
91,3.466912,0.305899,0.656227,,,0.0001,fc,flowers
92,3.435514,0.310755,0.663753,,,0.0001,fc,flowers
93,3.403322,0.320952,0.672251,,,0.0001,fc,flowers
94,3.354708,0.322651,0.679534,,,0.0001,fc,flowers
95,3.317593,0.329206,0.686574,,,0.0001,fc,flowers
96,3.287967,0.33479,0.691916,,,0.0001,fc,flowers
97,3.252458,0.33916,0.697257,,,0.0001,fc,flowers
98,3.223856,0.347172,0.705511,,,0.0001,fc,flowers
99,3.18087,0.349842,0.709395,,,0.0001,fc,flowers
100,3.15453,0.355669,0.710609,,,0.0001,fc,flowers
101,3.115978,0.359796,0.718378,,,0.0001,fc,flowers
102,3.085073,0.362467,0.724933,,,0.0001,fc,flowers
103,3.065406,0.370235,0.731488,,,0.0001,fc,flowers
104,3.019797,0.373877,0.731731,,,0.0001,fc,flowers
105,2.990985,0.37679,0.740471,,,0.0001,fc,flowers
106,2.953831,0.381646,0.740957,,,0.0001,fc,flowers
107,2.920473,0.387473,0.74654,,,0.0001,fc,flowers
108,2.902533,0.388444,0.747512,,,0.0001,fc,flowers
109,2.887684,0.398155,0.754795,,,0.0001,fc,flowers
110,2.844327,0.402525,0.756494,,,0.0001,fc,flowers
111,2.801848,0.404953,0.758922,,,0.0001,fc,flowers
112,2.778203,0.404224,0.760136,,,0.0001,fc,flowers
113,2.773637,0.413935,0.767176,,,0.0001,fc,flowers
114,2.74081,0.415149,0.768633,,,0.0001,fc,flowers
115,2.717818,0.419762,0.773731,,,0.0001,fc,flowers
116,2.694359,0.420976,0.77713,,,0.0001,fc,flowers
117,2.673008,0.428259,0.779073,,,0.0001,fc,flowers
118,2.638995,0.4336,0.7832,,,0.0001,fc,flowers
119,2.615843,0.44234,0.787084,,,0.0001,fc,flowers
120,2.591577,0.442098,0.787327,,,0.0001,fc,flowers
121,2.563805,0.449381,0.789755,,,0.0001,fc,flowers
122,2.535693,0.456179,0.792911,,,0.0001,fc,flowers
