epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,36.389134,0.021293,0.059316,0.060792,0.190184,0.0001,fc,flowers
2,7.483112,0.021293,0.059316,0.060792,0.190184,0.0001,fc,flowers
3,5.483754,0.021293,0.090494,0.060792,0.307306,0.0001,fc,flowers
4,5.445703,0.021293,0.143726,0.060792,0.307306,0.0001,fc,flowers
5,5.260377,0.021293,0.146008,0.060792,0.307306,0.0001,fc,flowers
6,5.253376,0.039544,0.149049,0.060792,0.307306,0.0001,fc,flowers
7,5.242598,0.039544,0.149049,0.060792,0.307306,0.0001,fc,flowers
8,5.249547,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
9,5.247082,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
10,5.253332,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
11,5.254272,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
12,5.250268,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
13,5.250511,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
14,5.257229,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
15,5.252257,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
16,5.257562,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
17,5.263188,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
18,5.254722,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
19,5.265057,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
20,5.268123,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
21,5.266575,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
22,5.267288,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
23,5.273563,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
24,5.261619,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
25,5.250315,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
26,5.26271,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
27,5.262177,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
28,5.261583,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
29,5.259423,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
30,5.247766,0.039544,0.161977,0.060792,0.307306,0.0001,fc,flowers
31,5.241021,0.039544,0.168061,0.060792,0.307306,0.0001,fc,flowers
32,5.232847,0.047909,0.215209,0.060792,0.307306,0.0001,fc,flowers
33,5.206858,0.051711,0.221293,0.060792,0.307306,0.0001,fc,flowers
34,5.173918,0.051711,0.230418,0.060792,0.307306,0.0001,fc,flowers
35,5.134489,0.077567,0.245627,0.060792,0.307306,0.0001,fc,flowers
36,5.068609,0.101141,0.267681,0.060792,0.307306,0.0001,fc,flowers
37,4.995734,0.101901,0.321673,0.060792,0.307306,0.0001,fc,flowers
38,4.913473,0.112548,0.352852,0.060792,0.312326,0.0001,fc,flowers
39,4.820044,0.121673,0.371863,0.061907,0.327942,0.0001,fc,flowers
40,4.726878,0.112548,0.397719,0.066369,0.361963,0.0001,fc,flowers
41,4.641049,0.117871,0.425095,0.0686,0.387619,0.0001,fc,flowers
42,4.582738,0.127757,0.437262,0.072504,0.402119,0.0001,fc,flowers
43,4.519351,0.132319,0.446388,0.076408,0.401004,0.0001,fc,flowers
44,4.500588,0.139163,0.458555,0.075851,0.403235,0.0001,fc,flowers
45,4.421318,0.146768,0.46616,0.076408,0.396542,0.0001,fc,flowers
46,4.382447,0.149049,0.475285,0.079755,0.401004,0.0001,fc,flowers
47,4.327704,0.153612,0.48289,0.080312,0.394869,0.0001,fc,flowers
48,4.307652,0.160456,0.488213,0.079197,0.393753,0.0001,fc,flowers
49,4.262784,0.160456,0.503422,0.08087,0.389849,0.0001,fc,flowers
50,4.235604,0.168821,0.509506,0.081428,0.388176,0.0001,fc,flowers
51,4.199993,0.170342,0.51711,0.081428,0.383157,0.0001,fc,flowers
52,4.155076,0.186312,0.524715,0.081428,0.379253,0.0001,fc,flowers
53,4.11767,0.190875,0.542966,0.082543,0.375906,0.0001,fc,flowers
54,4.086314,0.203042,0.563498,0.082543,0.368656,0.0001,fc,flowers
55,4.036649,0.209125,0.571103,0.081985,0.366983,0.0001,fc,flowers
56,3.977394,0.219772,0.595437,0.081985,0.366425,0.0001,fc,flowers
57,3.935955,0.228137,0.598479,0.081985,0.361963,0.0001,fc,flowers
58,3.880923,0.234981,0.613688,0.082543,0.360848,0.0001,fc,flowers
59,3.827668,0.241065,0.638023,0.083101,0.363079,0.0001,fc,flowers
60,3.781464,0.26616,0.648669,0.085332,0.363636,0.0001,fc,flowers
61,3.726809,0.272243,0.652471,0.084774,0.355828,0.0001,fc,flowers
62,3.673098,0.28365,0.661597,0.085332,0.359175,0.0001,fc,flowers
63,3.632826,0.295817,0.679848,0.083101,0.356386,0.0001,fc,flowers
64,3.583494,0.304943,0.693536,0.082543,0.358617,0.0001,fc,flowers
65,3.533056,0.310266,0.706464,0.082543,0.354713,0.0001,fc,flowers
66,3.480284,0.322433,0.714829,0.083659,0.350809,0.0001,fc,flowers
67,3.429067,0.336882,0.725475,0.083101,0.351924,0.0001,fc,flowers
68,3.362325,0.346008,0.736882,0.081985,0.346905,0.0001,fc,flowers
69,3.310002,0.356654,0.743726,0.081428,0.347462,0.0001,fc,flowers
70,3.278654,0.364259,0.75057,0.083101,0.348578,0.0001,fc,flowers
71,3.240289,0.365019,0.760456,0.083101,0.347462,0.0001,fc,flowers
72,3.195511,0.374144,0.764259,0.081985,0.344116,0.0001,fc,flowers
73,3.169362,0.384791,0.768821,0.081428,0.344674,0.0001,fc,flowers
74,3.121643,0.385551,0.777947,0.081428,0.344674,0.0001,fc,flowers
75,3.061704,0.391635,0.78403,0.082543,0.346905,0.0001,fc,flowers
76,3.02757,0.398479,0.787072,0.082543,0.347462,0.0001,fc,flowers
77,2.994954,0.407605,0.790114,0.08087,0.345789,0.0001,fc,flowers
78,2.9582,0.415209,0.792395,0.080312,0.349693,0.0001,fc,flowers
79,2.917659,0.422053,0.796958,0.08087,0.350251,0.0001,fc,flowers
80,2.886573,0.428137,0.8,0.079197,0.348578,0.0001,fc,flowers
