epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,30.38352,0.005073,0.025364,,,0.0005,fc+conv,cub
2,7.14797,0.005073,0.025364,,,0.0005,fc+conv,cub
3,6.624371,0.005073,0.030267,,,0.0005,fc+conv,cub
4,6.513188,0.005073,0.0279,,,0.0005,fc+conv,cub
5,6.452622,0.009469,0.046331,,,0.0005,fc+conv,cub
6,6.375628,0.0093,0.051065,,,0.0005,fc+conv,cub
7,6.309566,0.0093,0.05208,,,0.0005,fc+conv,cub
8,6.220996,0.011498,0.05952,,,0.0005,fc+conv,cub
9,6.026906,0.021305,0.092661,,,0.0005,fc+conv,cub
10,5.857725,0.028069,0.105512,,,0.0005,fc+conv,cub
11,5.736292,0.029253,0.121238,,,0.0005,fc+conv,cub
12,5.603461,0.032127,0.131721,,,0.0005,fc+conv,cub
13,5.513403,0.035002,0.142712,,,0.0005,fc+conv,cub
14,5.43669,0.041427,0.168414,,,0.0005,fc+conv,cub
15,5.338172,0.044471,0.178221,,,0.0005,fc+conv,cub
16,5.271206,0.051403,0.190903,,,0.0005,fc+conv,cub
17,5.193932,0.063071,0.23047,,,0.0005,fc+conv,cub
18,5.059429,0.082516,0.281874,,,0.0005,fc+conv,cub
19,4.855374,0.11329,0.354751,,,0.0005,fc+conv,cub
20,4.585172,0.140683,0.434562,,,0.0005,fc+conv,cub
21,4.343206,0.145925,0.455022,,,0.0005,fc+conv,cub
22,4.232558,0.182956,0.503213,,,0.0005,fc+conv,cub
23,4.039556,0.18769,0.525025,,,0.0005,fc+conv,cub
24,3.921962,0.20257,0.546838,,,0.0005,fc+conv,cub
25,3.817776,0.227934,0.575752,,,0.0005,fc+conv,cub
26,3.691555,0.245857,0.585729,,,0.0005,fc+conv,cub
27,3.608915,0.266655,0.616672,,,0.0005,fc+conv,cub
28,3.432099,0.286101,0.642205,,,0.0005,fc+conv,cub
29,3.326243,0.297937,0.64863,,,0.0005,fc+conv,cub
30,3.219502,0.315353,0.66537,,,0.0005,fc+conv,cub
31,3.129492,0.330741,0.681941,,,0.0005,fc+conv,cub
32,3.01489,0.341224,0.695807,,,0.0005,fc+conv,cub
33,2.894381,0.357626,0.708827,,,0.0005,fc+conv,cub
34,2.788225,0.37183,0.717281,,,0.0005,fc+conv,cub
35,2.692378,0.377917,0.728948,,,0.0005,fc+conv,cub
36,2.620488,0.392797,0.741968,,,0.0005,fc+conv,cub
37,2.495078,0.401589,0.745519,,,0.0005,fc+conv,cub
38,2.485817,0.405648,0.75093,,,0.0005,fc+conv,cub
39,2.340817,0.414609,0.75837,,,0.0005,fc+conv,cub
40,2.251825,0.421373,0.764119,,,0.0005,fc+conv,cub
41,2.177149,0.437268,0.768515,,,0.0005,fc+conv,cub
42,2.11956,0.437606,0.772574,,,0.0005,fc+conv,cub
43,2.09288,0.444369,0.77511,,,0.0005,fc+conv,cub
44,1.956626,0.446398,0.781197,,,0.0005,fc+conv,cub
45,1.901035,0.456882,0.782043,,,0.0005,fc+conv,cub
46,1.821275,0.454684,0.78627,,,0.0005,fc+conv,cub
47,1.762217,0.451133,0.782043,,,0.0005,fc+conv,cub
48,1.717938,0.469056,0.784072,,,0.0005,fc+conv,cub
49,1.629681,0.468211,0.789483,,,0.0005,fc+conv,cub
50,1.565649,0.474975,0.793033,,,0.0005,fc+conv,cub
51,1.548968,0.477004,0.790328,,,0.0005,fc+conv,cub
52,1.460683,0.476327,0.791173,,,0.0005,fc+conv,cub
53,1.389323,0.478526,0.794386,,,0.0005,fc+conv,cub
54,1.322939,0.483936,0.795739,,,0.0005,fc+conv,cub
55,1.278338,0.482246,0.796415,,,0.0005,fc+conv,cub
56,1.291467,0.480386,0.790159,,,0.0005,fc+conv,cub
57,1.181709,0.480555,0.795232,,,0.0005,fc+conv,cub
58,1.139274,0.486304,0.794048,,,0.0005,fc+conv,cub
59,1.049937,0.481907,0.795908,,,0.0005,fc+conv,cub
60,0.996965,0.489347,0.793541,,,0.0005,fc+conv,cub
61,0.94424,0.484275,0.792019,,,0.0005,fc+conv,cub
62,0.92379,0.494927,0.794048,,,0.0005,fc+conv,cub
63,0.878781,0.488502,0.790328,,,0.0005,fc+conv,cub
64,0.827301,0.490362,0.790666,,,0.0005,fc+conv,cub
65,0.774526,0.487995,0.79557,,,0.0005,fc+conv,cub
66,0.745243,0.488671,0.79185,,,0.0005,fc+conv,cub
67,0.698692,0.487656,0.794048,,,0.0005,fc+conv,cub
68,0.653878,0.487487,0.792357,,,0.0005,fc+conv,cub
69,0.635035,0.491376,0.790328,,,0.0005,fc+conv,cub
70,0.614806,0.493575,0.793203,,,0.0005,fc+conv,cub
71,0.640078,0.488502,0.789144,,,0.0005,fc+conv,cub
72,0.550886,0.488502,0.78813,,,0.0005,fc+conv,cub
73,0.534355,0.489178,0.790497,,,0.0005,fc+conv,cub
74,0.480202,0.492053,0.783564,,,0.0005,fc+conv,cub
75,0.457173,0.491715,0.786946,,,0.0005,fc+conv,cub
76,0.402894,0.489178,0.783395,,,0.0005,fc+conv,cub
77,0.370975,0.488502,0.785594,,,0.0005,fc+conv,cub
78,0.340454,0.489685,0.783057,,,0.0005,fc+conv,cub
79,0.317715,0.493405,0.785594,,,0.0005,fc+conv,cub
80,0.305908,0.485289,0.781874,,,0.0005,fc+conv,cub
81,0.281373,0.488502,0.78255,,,0.0005,fc+conv,cub
82,0.258514,0.486811,0.777646,,,0.0005,fc+conv,cub
