epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,22.955564,0.006312,0.034719,0.025521,0.114845,0.0005,fc+conv,cub
2,6.935531,0.006312,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
3,6.51385,0.006312,0.032088,0.022544,0.114845,0.0005,fc+conv,cub
4,6.416986,0.006312,0.031562,0.017439,0.114845,0.0005,fc+conv,cub
5,6.33946,0.006312,0.031562,0.017439,0.118673,0.0005,fc+conv,cub
6,6.285318,0.006312,0.031562,0.017439,0.118248,0.0005,fc+conv,cub
7,6.25104,0.006312,0.038927,0.017439,0.118248,0.0005,fc+conv,cub
8,6.226365,0.008943,0.043661,0.017439,0.118248,0.0005,fc+conv,cub
9,6.206987,0.010521,0.044187,0.017439,0.118248,0.0005,fc+conv,cub
10,6.187468,0.020516,0.063651,0.017439,0.118248,0.0005,fc+conv,cub
11,6.162526,0.021042,0.078906,0.019991,0.118248,0.0005,fc+conv,cub
12,6.100175,0.015781,0.086796,0.023394,0.131008,0.0005,fc+conv,cub
13,5.834492,0.029984,0.142031,0.031051,0.202042,0.0005,fc+conv,cub
14,5.553334,0.037875,0.182536,0.053594,0.276053,0.0005,fc+conv,cub
15,5.364147,0.04787,0.225145,0.062101,0.305402,0.0005,fc+conv,cub
16,5.252229,0.058916,0.253025,0.064228,0.31476,0.0005,fc+conv,cub
17,5.169025,0.067333,0.267228,0.067205,0.332199,0.0005,fc+conv,cub
18,5.112562,0.065755,0.286691,0.068907,0.334326,0.0005,fc+conv,cub
19,5.063125,0.081536,0.320884,0.070183,0.3339,0.0005,fc+conv,cub
20,5.011345,0.086796,0.347712,0.068481,0.326244,0.0005,fc+conv,cub
21,4.923544,0.101526,0.395581,0.071034,0.324543,0.0005,fc+conv,cub
22,4.829822,0.105734,0.408732,0.068907,0.327095,0.0005,fc+conv,cub
23,4.745828,0.119937,0.424513,0.06678,0.332624,0.0005,fc+conv,cub
24,4.680294,0.125723,0.475539,0.069758,0.332624,0.0005,fc+conv,cub
25,4.6206,0.135718,0.471857,0.068907,0.342833,0.0005,fc+conv,cub
26,4.569826,0.143609,0.500263,0.069332,0.348788,0.0005,fc+conv,cub
27,4.523811,0.146239,0.489216,0.066355,0.354743,0.0005,fc+conv,cub
28,4.479749,0.15939,0.518148,0.071459,0.353467,0.0005,fc+conv,cub
29,4.424147,0.163598,0.517622,0.073586,0.353467,0.0005,fc+conv,cub
30,4.412363,0.169911,0.528669,0.07316,0.357295,0.0005,fc+conv,cub
31,4.35655,0.183062,0.536034,0.074011,0.356869,0.0005,fc+conv,cub
32,4.309686,0.177801,0.547607,0.077839,0.35772,0.0005,fc+conv,cub
33,4.279802,0.175171,0.549185,0.074011,0.355593,0.0005,fc+conv,cub
34,4.259984,0.177801,0.550237,0.074011,0.359847,0.0005,fc+conv,cub
35,4.222001,0.193582,0.554445,0.076563,0.358571,0.0005,fc+conv,cub
36,4.199742,0.188322,0.550237,0.078265,0.360272,0.0005,fc+conv,cub
37,4.173236,0.187796,0.555497,0.076989,0.358996,0.0005,fc+conv,cub
38,4.135828,0.209363,0.570226,0.081667,0.351765,0.0005,fc+conv,cub
39,4.114015,0.206207,0.568648,0.082943,0.351765,0.0005,fc+conv,cub
40,4.095384,0.203577,0.567596,0.082093,0.358571,0.0005,fc+conv,cub
41,4.094147,0.208837,0.573908,0.086346,0.350489,0.0005,fc+conv,cub
42,4.076318,0.21252,0.585481,0.082943,0.358996,0.0005,fc+conv,cub
43,4.052738,0.211994,0.578643,0.088048,0.356444,0.0005,fc+conv,cub
44,4.063787,0.208311,0.576539,0.086346,0.354743,0.0005,fc+conv,cub
45,4.01153,0.21252,0.573382,0.084219,0.358145,0.0005,fc+conv,cub
46,4.010822,0.218306,0.594424,0.084219,0.361548,0.0005,fc+conv,cub
47,3.989393,0.225671,0.586007,0.088473,0.351765,0.0005,fc+conv,cub
48,3.971619,0.226197,0.588638,0.088048,0.351765,0.0005,fc+conv,cub
