epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,21.851407,0.006312,0.03051,0.025521,0.114845,0.0005,fc+conv,cub
2,6.326725,0.006312,0.03051,0.025521,0.116972,0.0005,fc+conv,cub
3,6.126929,0.00526,0.042609,0.025521,0.118248,0.0005,fc+conv,cub
4,6.091521,0.013677,0.088375,0.025521,0.118248,0.0005,fc+conv,cub
5,6.059787,0.017359,0.116255,0.031901,0.118248,0.0005,fc+conv,cub
6,5.811192,0.017885,0.100999,0.032327,0.220332,0.0005,fc+conv,cub
7,5.38929,0.043661,0.208311,0.055296,0.244151,0.0005,fc+conv,cub
8,5.011004,0.066281,0.279853,0.063377,0.268822,0.0005,fc+conv,cub
9,4.692948,0.088901,0.359285,0.064653,0.289664,0.0005,fc+conv,cub
10,4.495065,0.122041,0.427144,0.069332,0.308379,0.0005,fc+conv,cub
11,4.329364,0.138874,0.468175,0.080817,0.336878,0.0005,fc+conv,cub
12,4.210349,0.161494,0.512888,0.086346,0.348788,0.0005,fc+conv,cub
13,4.079628,0.203051,0.559705,0.089749,0.351765,0.0005,fc+conv,cub
14,3.910953,0.231983,0.619674,0.102084,0.366652,0.0005,fc+conv,cub
15,3.741143,0.279327,0.668069,0.114845,0.386219,0.0005,fc+conv,cub
16,3.522647,0.308785,0.710679,0.124202,0.394726,0.0005,fc+conv,cub
17,3.367456,0.340347,0.736454,0.130157,0.409613,0.0005,fc+conv,cub
18,3.193163,0.378222,0.768543,0.140366,0.431731,0.0005,fc+conv,cub
19,3.03919,0.392951,0.78748,0.149724,0.44279,0.0005,fc+conv,cub
20,2.879883,0.433982,0.80747,0.147171,0.444066,0.0005,fc+conv,cub
21,2.760551,0.450815,0.813256,0.15185,0.444492,0.0005,fc+conv,cub
22,2.655049,0.473435,0.824303,0.150574,0.457252,0.0005,fc+conv,cub
23,2.526591,0.494477,0.831668,0.147597,0.451297,0.0005,fc+conv,cub
24,2.432284,0.511836,0.837454,0.144619,0.4547,0.0005,fc+conv,cub
25,2.339839,0.51657,0.850079,0.145895,0.458954,0.0005,fc+conv,cub
26,2.243151,0.538138,0.859548,0.152276,0.46023,0.0005,fc+conv,cub
27,2.167594,0.550763,0.857969,0.151,0.46023,0.0005,fc+conv,cub
28,2.092073,0.566018,0.874803,0.153552,0.465334,0.0005,fc+conv,cub
29,2.013892,0.56707,0.877433,0.150574,0.46108,0.0005,fc+conv,cub
30,1.936405,0.579695,0.878485,0.159507,0.460655,0.0005,fc+conv,cub
31,1.873713,0.592846,0.881115,0.143769,0.46108,0.0005,fc+conv,cub
32,1.804323,0.591268,0.889532,0.152276,0.476818,0.0005,fc+conv,cub
33,1.746707,0.604419,0.88585,0.148873,0.469162,0.0005,fc+conv,cub
34,1.697288,0.605471,0.894792,0.145895,0.47214,0.0005,fc+conv,cub
35,1.664959,0.614413,0.899527,0.140366,0.475542,0.0005,fc+conv,cub
36,1.581479,0.617044,0.895844,0.132709,0.482773,0.0005,fc+conv,cub
37,1.535889,0.622304,0.901105,0.13994,0.485751,0.0005,fc+conv,cub
38,1.493586,0.627564,0.899527,0.141217,0.475968,0.0005,fc+conv,cub
39,1.432045,0.626512,0.900053,0.140366,0.489154,0.0005,fc+conv,cub
40,1.388752,0.637033,0.899527,0.136963,0.486176,0.0005,fc+conv,cub
41,1.349512,0.628617,0.901105,0.136963,0.492131,0.0005,fc+conv,cub
42,1.321914,0.640715,0.901631,0.134411,0.487877,0.0005,fc+conv,cub
43,1.246746,0.629669,0.902683,0.133135,0.493832,0.0005,fc+conv,cub
44,1.214457,0.640189,0.89637,0.140791,0.483624,0.0005,fc+conv,cub
45,1.174426,0.635981,0.906365,0.134836,0.487452,0.0005,fc+conv,cub
46,1.152845,0.638611,0.900579,0.135262,0.484475,0.0005,fc+conv,cub
47,1.108204,0.634403,0.902157,0.133986,0.492131,0.0005,fc+conv,cub
48,1.081413,0.633877,0.901105,0.133135,0.487452,0.0005,fc+conv,cub
49,1.011137,0.635455,0.895844,0.128031,0.483624,0.0005,fc+conv,cub
50,1.025911,0.644398,0.897422,0.131859,0.494683,0.0005,fc+conv,cub
51,0.960087,0.651762,0.901105,0.131008,0.498511,0.0005,fc+conv,cub
52,0.898516,0.649132,0.895844,0.130583,0.489579,0.0005,fc+conv,cub
53,0.864481,0.647554,0.901105,0.129307,0.486601,0.0005,fc+conv,cub
54,0.842136,0.649658,0.89374,0.125053,0.487877,0.0005,fc+conv,cub
55,0.816259,0.64282,0.899527,0.131008,0.486176,0.0005,fc+conv,cub
56,0.777733,0.639137,0.899001,0.128031,0.495108,0.0005,fc+conv,cub
57,0.782625,0.647554,0.898474,0.130157,0.495534,0.0005,fc+conv,cub
58,0.740175,0.64545,0.897422,0.128456,0.490855,0.0005,fc+conv,cub
59,0.693411,0.656497,0.89637,0.126755,0.491706,0.0005,fc+conv,cub
60,0.656507,0.658601,0.89374,0.131859,0.497235,0.0005,fc+conv,cub
61,0.625414,0.649658,0.894792,0.13356,0.490855,0.0005,fc+conv,cub
62,0.606205,0.64282,0.894792,0.132284,0.49128,0.0005,fc+conv,cub
63,0.574286,0.64808,0.89374,0.135262,0.489579,0.0005,fc+conv,cub
64,0.545421,0.652288,0.89111,0.131859,0.49128,0.0005,fc+conv,cub
65,0.520843,0.65334,0.894792,0.134411,0.492982,0.0005,fc+conv,cub
66,0.502957,0.639137,0.890584,0.131008,0.495108,0.0005,fc+conv,cub
67,0.496233,0.651762,0.891636,0.128456,0.498937,0.0005,fc+conv,cub
68,0.516643,0.644398,0.886376,0.125904,0.490004,0.0005,fc+conv,cub
69,0.531312,0.650184,0.886376,0.130583,0.492982,0.0005,fc+conv,cub
