epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,24.456024,0.006312,0.031562,0.025521,0.122926,0.0005,fc+conv,cub
2,6.491862,0.006312,0.029458,0.025521,0.119098,0.0005,fc+conv,cub
3,6.107818,0.006312,0.029984,0.025521,0.118248,0.0005,fc+conv,cub
4,6.097406,0.006312,0.036823,0.025521,0.118248,0.0005,fc+conv,cub
5,6.091325,0.008417,0.037349,0.025521,0.118248,0.0005,fc+conv,cub
6,6.085043,0.011573,0.043135,0.025521,0.118248,0.0005,fc+conv,cub
7,6.07654,0.008417,0.038401,0.025521,0.118248,0.0005,fc+conv,cub
8,6.057716,0.008943,0.052604,0.027648,0.125904,0.0005,fc+conv,cub
9,6.022354,0.014203,0.074698,0.028499,0.130583,0.0005,fc+conv,cub
10,5.951447,0.015255,0.07575,0.0302,0.141642,0.0005,fc+conv,cub
11,5.844116,0.019989,0.095213,0.034453,0.147171,0.0005,fc+conv,cub
12,5.728636,0.024724,0.125723,0.039983,0.179498,0.0005,fc+conv,cub
13,5.581919,0.027354,0.140978,0.041259,0.195236,0.0005,fc+conv,cub
14,5.469241,0.038927,0.168332,0.039558,0.217354,0.0005,fc+conv,cub
15,5.341355,0.049448,0.220936,0.04296,0.249681,0.0005,fc+conv,cub
16,5.166685,0.063651,0.270384,0.0604,0.256061,0.0005,fc+conv,cub
17,4.916376,0.076276,0.326144,0.065929,0.279881,0.0005,fc+conv,cub
18,4.726694,0.102052,0.369279,0.065504,0.281582,0.0005,fc+conv,cub
19,4.600527,0.101526,0.391373,0.068907,0.293067,0.0005,fc+conv,cub
20,4.513819,0.116255,0.424513,0.074011,0.307529,0.0005,fc+conv,cub
21,4.428297,0.126249,0.426618,0.073586,0.301999,0.0005,fc+conv,cub
22,4.359348,0.130458,0.432404,0.076563,0.304977,0.0005,fc+conv,cub
23,4.28919,0.138348,0.468175,0.076563,0.304977,0.0005,fc+conv,cub
24,4.211578,0.149921,0.492372,0.075712,0.310081,0.0005,fc+conv,cub
25,4.154598,0.16202,0.510784,0.072735,0.320289,0.0005,fc+conv,cub
26,4.068095,0.172015,0.540242,0.077839,0.336453,0.0005,fc+conv,cub
27,3.997256,0.203577,0.571804,0.078265,0.340706,0.0005,fc+conv,cub
28,3.883478,0.206733,0.604945,0.086346,0.345385,0.0005,fc+conv,cub
29,3.80207,0.24829,0.62809,0.083794,0.348788,0.0005,fc+conv,cub
30,3.700348,0.255655,0.639137,0.082943,0.356869,0.0005,fc+conv,cub
31,3.630475,0.269858,0.664913,0.087622,0.358145,0.0005,fc+conv,cub
32,3.497627,0.289321,0.689111,0.0906,0.366227,0.0005,fc+conv,cub
33,3.419454,0.307733,0.70647,0.096129,0.373883,0.0005,fc+conv,cub
34,3.309644,0.325618,0.720147,0.099957,0.377286,0.0005,fc+conv,cub
35,3.225822,0.342451,0.739085,0.096555,0.38154,0.0005,fc+conv,cub
36,3.125064,0.356128,0.758022,0.106763,0.386219,0.0005,fc+conv,cub
37,3.050441,0.37454,0.763282,0.116972,0.398554,0.0005,fc+conv,cub
38,2.964721,0.394003,0.770647,0.116972,0.392599,0.0005,fc+conv,cub
39,2.956484,0.404524,0.789584,0.122076,0.394726,0.0005,fc+conv,cub
40,2.800652,0.418727,0.795897,0.122501,0.396852,0.0005,fc+conv,cub
41,2.746966,0.417149,0.799053,0.125479,0.397278,0.0005,fc+conv,cub
42,2.703988,0.442925,0.80747,0.125479,0.398128,0.0005,fc+conv,cub
43,2.607591,0.447133,0.811678,0.126329,0.398979,0.0005,fc+conv,cub
44,2.555285,0.462388,0.814308,0.132709,0.41174,0.0005,fc+conv,cub
45,2.540432,0.467123,0.821147,0.13909,0.41259,0.0005,fc+conv,cub
46,2.446338,0.475013,0.826933,0.132709,0.410889,0.0005,fc+conv,cub
47,2.381902,0.48343,0.830615,0.137814,0.422373,0.0005,fc+conv,cub
48,2.341181,0.486586,0.832194,0.13356,0.423224,0.0005,fc+conv,cub
49,2.29274,0.503419,0.836928,0.13356,0.424075,0.0005,fc+conv,cub
50,2.229562,0.507102,0.844819,0.140791,0.432582,0.0005,fc+conv,cub
51,2.185371,0.505523,0.845345,0.136112,0.435559,0.0005,fc+conv,cub
52,2.139209,0.51657,0.845345,0.145045,0.436835,0.0005,fc+conv,cub
53,2.166035,0.5192,0.850605,0.139515,0.437686,0.0005,fc+conv,cub
54,2.043782,0.522357,0.849027,0.138239,0.437261,0.0005,fc+conv,cub
55,2.002003,0.534456,0.853235,0.142493,0.440664,0.0005,fc+conv,cub
56,1.942571,0.534456,0.855339,0.143769,0.44279,0.0005,fc+conv,cub
57,1.905631,0.546554,0.862178,0.142067,0.44194,0.0005,fc+conv,cub
58,1.869682,0.549711,0.8606,0.140791,0.450872,0.0005,fc+conv,cub
59,1.821574,0.554445,0.867438,0.141642,0.44832,0.0005,fc+conv,cub
60,1.783688,0.565492,0.866912,0.142493,0.455125,0.0005,fc+conv,cub
61,1.757099,0.568122,0.870068,0.142918,0.454275,0.0005,fc+conv,cub
62,1.701383,0.568122,0.87112,0.137388,0.46108,0.0005,fc+conv,cub
63,1.687165,0.581799,0.870068,0.143343,0.458528,0.0005,fc+conv,cub
64,1.646371,0.589164,0.87112,0.136963,0.458103,0.0005,fc+conv,cub
65,1.603138,0.584955,0.872173,0.13909,0.464483,0.0005,fc+conv,cub
66,1.561911,0.591794,0.873751,0.136112,0.463207,0.0005,fc+conv,cub
67,1.52363,0.587059,0.875855,0.136963,0.463207,0.0005,fc+conv,cub
68,1.510335,0.588638,0.875329,0.132284,0.465759,0.0005,fc+conv,cub
69,1.477002,0.586533,0.878485,0.134411,0.469162,0.0005,fc+conv,cub
70,1.447746,0.596002,0.881115,0.132284,0.466185,0.0005,fc+conv,cub
71,1.439491,0.596002,0.880063,0.128456,0.474266,0.0005,fc+conv,cub
72,1.397948,0.60021,0.879537,0.12718,0.466185,0.0005,fc+conv,cub
