epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,18.979766,0.006312,0.03051,0.025521,0.119098,0.0005,fc+conv,cub
2,6.175756,0.00526,0.03051,0.017439,0.119949,0.0005,fc+conv,cub
3,6.07232,0.00526,0.03314,0.017439,0.119098,0.0005,fc+conv,cub
4,6.06797,0.00526,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
5,6.067472,0.00526,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
6,6.066683,0.00526,0.035245,0.017439,0.119098,0.0005,fc+conv,cub
7,6.065204,0.006312,0.039979,0.017439,0.119098,0.0005,fc+conv,cub
8,6.063769,0.006839,0.038401,0.017439,0.119098,0.0005,fc+conv,cub
9,6.062329,0.013677,0.052604,0.017439,0.119098,0.0005,fc+conv,cub
10,6.044869,0.017359,0.069437,0.01829,0.136538,0.0005,fc+conv,cub
11,5.726907,0.021568,0.113098,0.047639,0.262867,0.0005,fc+conv,cub
12,5.451176,0.03314,0.146765,0.076989,0.281582,0.0005,fc+conv,cub
13,5.278511,0.051552,0.188848,0.091025,0.288813,0.0005,fc+conv,cub
14,5.133281,0.069437,0.250395,0.085496,0.292216,0.0005,fc+conv,cub
15,4.863141,0.091531,0.338243,0.094428,0.319439,0.0005,fc+conv,cub
16,4.551403,0.118359,0.408732,0.098256,0.337729,0.0005,fc+conv,cub
17,4.353364,0.125723,0.433982,0.10251,0.373033,0.0005,fc+conv,cub
18,4.22599,0.13677,0.4808,0.103786,0.398979,0.0005,fc+conv,cub
19,4.108335,0.157812,0.507628,0.112718,0.396852,0.0005,fc+conv,cub
20,4.021135,0.174119,0.53919,0.11527,0.403658,0.0005,fc+conv,cub
21,3.927301,0.179379,0.551289,0.118248,0.40621,0.0005,fc+conv,cub
22,3.872418,0.197791,0.58969,0.1208,0.408337,0.0005,fc+conv,cub
23,3.714551,0.225145,0.611783,0.1208,0.412165,0.0005,fc+conv,cub
24,3.603986,0.24303,0.647554,0.12165,0.419821,0.0005,fc+conv,cub
25,3.542011,0.241978,0.655445,0.12165,0.434283,0.0005,fc+conv,cub
26,3.440418,0.27091,0.678064,0.122501,0.435559,0.0005,fc+conv,cub
27,3.323757,0.291952,0.691741,0.122501,0.444917,0.0005,fc+conv,cub
28,3.248666,0.312993,0.697528,0.124628,0.447469,0.0005,fc+conv,cub
29,3.180493,0.320358,0.720673,0.125904,0.446193,0.0005,fc+conv,cub
30,3.107034,0.339295,0.723304,0.132284,0.456402,0.0005,fc+conv,cub
31,3.076493,0.348764,0.742241,0.12718,0.4547,0.0005,fc+conv,cub
32,2.967699,0.367701,0.762756,0.128031,0.469162,0.0005,fc+conv,cub
33,2.858861,0.388217,0.769595,0.123352,0.461506,0.0005,fc+conv,cub
34,2.7568,0.393477,0.780642,0.123777,0.469587,0.0005,fc+conv,cub
35,2.706294,0.401894,0.786428,0.121225,0.469587,0.0005,fc+conv,cub
36,2.671951,0.413467,0.794845,0.117397,0.464483,0.0005,fc+conv,cub
37,2.555725,0.424513,0.804314,0.116972,0.457252,0.0005,fc+conv,cub
38,2.468944,0.429248,0.812204,0.125053,0.462782,0.0005,fc+conv,cub
39,2.414637,0.443977,0.81273,0.121225,0.46661,0.0005,fc+conv,cub
40,2.347255,0.448711,0.828511,0.120374,0.462356,0.0005,fc+conv,cub
41,2.280676,0.462914,0.828511,0.122076,0.47299,0.0005,fc+conv,cub
42,2.21983,0.481852,0.833246,0.119949,0.469587,0.0005,fc+conv,cub
43,2.128063,0.486586,0.837454,0.128031,0.467886,0.0005,fc+conv,cub
44,2.057812,0.500789,0.844292,0.131433,0.465334,0.0005,fc+conv,cub
45,1.994328,0.509732,0.844819,0.129307,0.470438,0.0005,fc+conv,cub
46,1.932633,0.514992,0.843766,0.132709,0.467886,0.0005,fc+conv,cub
47,1.860901,0.526565,0.853235,0.133135,0.461931,0.0005,fc+conv,cub
48,1.814322,0.529721,0.855339,0.13356,0.465759,0.0005,fc+conv,cub
49,1.77561,0.533403,0.857969,0.132284,0.464483,0.0005,fc+conv,cub
50,1.712376,0.548133,0.859022,0.133135,0.458954,0.0005,fc+conv,cub
51,1.625216,0.538138,0.862704,0.132284,0.465759,0.0005,fc+conv,cub
52,1.589522,0.552341,0.864808,0.131433,0.465334,0.0005,fc+conv,cub
53,1.548706,0.555497,0.861652,0.134836,0.461506,0.0005,fc+conv,cub
54,1.501953,0.56707,0.870068,0.13356,0.461506,0.0005,fc+conv,cub
55,1.466175,0.562862,0.867438,0.137814,0.455125,0.0005,fc+conv,cub
56,1.398348,0.562336,0.864282,0.139515,0.4547,0.0005,fc+conv,cub
57,1.351204,0.568648,0.869016,0.130583,0.454275,0.0005,fc+conv,cub
58,1.301695,0.568648,0.867438,0.138664,0.460655,0.0005,fc+conv,cub
59,1.286506,0.574435,0.875329,0.129732,0.455976,0.0005,fc+conv,cub
60,1.231879,0.585481,0.867964,0.128881,0.455125,0.0005,fc+conv,cub
61,1.186538,0.590216,0.870068,0.134836,0.458528,0.0005,fc+conv,cub
62,1.151166,0.578117,0.87112,0.132709,0.450021,0.0005,fc+conv,cub
63,1.140873,0.596528,0.877959,0.133986,0.457252,0.0005,fc+conv,cub
64,1.105737,0.591268,0.875329,0.132709,0.457252,0.0005,fc+conv,cub
65,1.033301,0.596528,0.870068,0.135687,0.449596,0.0005,fc+conv,cub
66,0.996155,0.59758,0.870594,0.13356,0.451723,0.0005,fc+conv,cub
67,0.958803,0.60021,0.873225,0.131859,0.450872,0.0005,fc+conv,cub
68,0.949867,0.597054,0.872173,0.134411,0.452999,0.0005,fc+conv,cub
69,0.891745,0.599158,0.873751,0.130583,0.455125,0.0005,fc+conv,cub
70,0.860101,0.598106,0.87112,0.13356,0.453849,0.0005,fc+conv,cub
