epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,20.748414,0.006312,0.03051,0.025521,0.114845,0.0005,fc+conv,cub
2,6.381067,0.006312,0.028932,0.017439,0.119098,0.0005,fc+conv,cub
3,6.072743,0.00526,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
4,6.068915,0.00526,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
5,6.067468,0.00526,0.029458,0.017439,0.119098,0.0005,fc+conv,cub
6,6.066685,0.00526,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
7,6.065773,0.00526,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
8,6.065428,0.006312,0.036297,0.017439,0.119098,0.0005,fc+conv,cub
9,6.065206,0.006312,0.034193,0.017439,0.119098,0.0005,fc+conv,cub
10,6.064228,0.011047,0.042083,0.017439,0.119098,0.0005,fc+conv,cub
11,6.06314,0.007365,0.040505,0.017439,0.119098,0.0005,fc+conv,cub
12,6.062005,0.006839,0.038401,0.017439,0.119098,0.0005,fc+conv,cub
13,6.061153,0.012099,0.047344,0.017439,0.119098,0.0005,fc+conv,cub
14,6.059628,0.014729,0.053656,0.017439,0.119098,0.0005,fc+conv,cub
15,6.056746,0.007891,0.045765,0.017439,0.120374,0.0005,fc+conv,cub
16,5.830574,0.032088,0.133088,0.0302,0.250957,0.0005,fc+conv,cub
17,5.493884,0.040505,0.197265,0.049341,0.283709,0.0005,fc+conv,cub
18,5.250347,0.074698,0.250395,0.074011,0.312208,0.0005,fc+conv,cub
19,4.974928,0.077854,0.308259,0.084219,0.307529,0.0005,fc+conv,cub
20,4.727811,0.102578,0.346134,0.09698,0.319013,0.0005,fc+conv,cub
21,4.501022,0.099421,0.378748,0.122076,0.357295,0.0005,fc+conv,cub
22,4.353511,0.123093,0.440295,0.118673,0.359422,0.0005,fc+conv,cub
23,4.167232,0.154129,0.501315,0.1208,0.365376,0.0005,fc+conv,cub
24,4.026124,0.171489,0.528143,0.116546,0.368354,0.0005,fc+conv,cub
25,3.90148,0.189374,0.570752,0.115695,0.393024,0.0005,fc+conv,cub
26,3.759667,0.224093,0.605997,0.115695,0.401106,0.0005,fc+conv,cub
27,3.608425,0.239348,0.637559,0.114419,0.415568,0.0005,fc+conv,cub
28,3.482115,0.256707,0.657549,0.118248,0.425776,0.0005,fc+conv,cub
29,3.384144,0.262493,0.675434,0.11527,0.435134,0.0005,fc+conv,cub
30,3.294355,0.280905,0.67859,0.121225,0.450021,0.0005,fc+conv,cub
31,3.224075,0.288269,0.705944,0.122501,0.4547,0.0005,fc+conv,cub
32,3.131231,0.29353,0.70647,0.12165,0.459804,0.0005,fc+conv,cub
33,3.063635,0.310889,0.705418,0.119524,0.450447,0.0005,fc+conv,cub
34,2.990368,0.309837,0.718043,0.119524,0.459804,0.0005,fc+conv,cub
35,2.931983,0.314045,0.713835,0.117397,0.456827,0.0005,fc+conv,cub
36,2.921856,0.327722,0.728038,0.119949,0.453424,0.0005,fc+conv,cub
37,2.812823,0.338243,0.740663,0.118673,0.459804,0.0005,fc+conv,cub
38,2.758187,0.34666,0.739611,0.114419,0.447044,0.0005,fc+conv,cub
39,2.687427,0.352972,0.746449,0.120374,0.455551,0.0005,fc+conv,cub
40,2.616534,0.376118,0.75697,0.116546,0.444066,0.0005,fc+conv,cub
41,2.534297,0.389795,0.764335,0.118673,0.444917,0.0005,fc+conv,cub
42,2.441892,0.397159,0.781168,0.11527,0.440664,0.0005,fc+conv,cub
43,2.373507,0.41031,0.785376,0.117397,0.444917,0.0005,fc+conv,cub
44,2.292462,0.429774,0.795897,0.117397,0.4547,0.0005,fc+conv,cub
45,2.219093,0.440821,0.800105,0.119098,0.451723,0.0005,fc+conv,cub
46,2.143698,0.441873,0.801683,0.118248,0.447044,0.0005,fc+conv,cub
47,2.056581,0.459232,0.813782,0.118673,0.452999,0.0005,fc+conv,cub
48,2.016444,0.459232,0.809574,0.114845,0.456827,0.0005,fc+conv,cub
49,2.000072,0.456076,0.816938,0.116546,0.455551,0.0005,fc+conv,cub
50,1.962554,0.473961,0.820095,0.111442,0.453849,0.0005,fc+conv,cub
51,1.816425,0.479221,0.821673,0.116121,0.459379,0.0005,fc+conv,cub
52,1.759743,0.475539,0.822199,0.111442,0.4547,0.0005,fc+conv,cub
53,1.712736,0.490268,0.818517,0.11527,0.455125,0.0005,fc+conv,cub
54,1.629289,0.497107,0.832194,0.114845,0.455125,0.0005,fc+conv,cub
55,1.581547,0.48869,0.832194,0.111017,0.451723,0.0005,fc+conv,cub
56,1.5684,0.498685,0.827459,0.112293,0.455551,0.0005,fc+conv,cub
57,1.484408,0.507102,0.83272,0.10889,0.459804,0.0005,fc+conv,cub
58,1.4189,0.506049,0.84061,0.114845,0.459379,0.0005,fc+conv,cub
59,1.371389,0.51394,0.834298,0.115695,0.459804,0.0005,fc+conv,cub
60,1.312456,0.511836,0.83535,0.112293,0.459379,0.0005,fc+conv,cub
61,1.255316,0.523409,0.833772,0.116121,0.46023,0.0005,fc+conv,cub
62,1.208479,0.513414,0.83798,0.110591,0.460655,0.0005,fc+conv,cub
63,1.176817,0.523935,0.834824,0.119098,0.453849,0.0005,fc+conv,cub
64,1.190225,0.518674,0.833246,0.118248,0.455551,0.0005,fc+conv,cub
65,1.112445,0.518148,0.839032,0.10889,0.457252,0.0005,fc+conv,cub
66,1.050497,0.524987,0.837454,0.115695,0.459379,0.0005,fc+conv,cub
67,1.014704,0.523409,0.837454,0.110166,0.461931,0.0005,fc+conv,cub
68,1.01882,0.530773,0.831668,0.113569,0.457252,0.0005,fc+conv,cub
69,0.942021,0.521831,0.839032,0.112718,0.453849,0.0005,fc+conv,cub
