epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,21.716011,0.006312,0.032088,0.025521,0.128031,0.0005,fc+conv,cub
2,7.018476,0.006312,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
3,6.791851,0.006839,0.032088,0.017439,0.119098,0.0005,fc+conv,cub
4,6.725876,0.012625,0.063651,0.026372,0.120374,0.0005,fc+conv,cub
5,6.569424,0.02525,0.083114,0.022969,0.189707,0.0005,fc+conv,cub
6,6.312677,0.035245,0.162546,0.030625,0.233518,0.0005,fc+conv,cub
7,5.967478,0.057864,0.231457,0.074436,0.250106,0.0005,fc+conv,cub
8,5.509163,0.102052,0.337191,0.084645,0.296895,0.0005,fc+conv,cub
9,5.034401,0.1394,0.445029,0.102084,0.320289,0.0005,fc+conv,cub
10,4.666334,0.16728,0.51131,0.096555,0.340706,0.0005,fc+conv,cub
11,4.440353,0.185692,0.546028,0.107188,0.362824,0.0005,fc+conv,cub
12,4.343278,0.221462,0.577591,0.119949,0.368354,0.0005,fc+conv,cub
13,4.145092,0.247764,0.609679,0.116972,0.371331,0.0005,fc+conv,cub
14,4.003738,0.272488,0.64808,0.113143,0.392599,0.0005,fc+conv,cub
15,3.811772,0.314571,0.683325,0.108464,0.402807,0.0005,fc+conv,cub
16,3.602086,0.351394,0.735402,0.10251,0.422373,0.0005,fc+conv,cub
17,3.401863,0.378222,0.752762,0.105487,0.418545,0.0005,fc+conv,cub
18,3.238717,0.395581,0.769069,0.105487,0.423224,0.0005,fc+conv,cub
19,3.072425,0.423987,0.780116,0.10336,0.426202,0.0005,fc+conv,cub
20,2.935019,0.443977,0.785376,0.104636,0.4245,0.0005,fc+conv,cub
21,2.821169,0.447659,0.796423,0.107188,0.442365,0.0005,fc+conv,cub
22,2.718928,0.459758,0.809574,0.109741,0.443216,0.0005,fc+conv,cub
23,2.581427,0.471857,0.818517,0.107614,0.441514,0.0005,fc+conv,cub
24,2.487377,0.48606,0.819569,0.10889,0.4547,0.0005,fc+conv,cub
25,2.358425,0.482904,0.83272,0.121225,0.461506,0.0005,fc+conv,cub
26,2.256037,0.503419,0.83798,0.116972,0.464058,0.0005,fc+conv,cub
