epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,17.566604,0.006312,0.032614,0.02467,0.132709,0.0005,fc+conv,cub
2,6.401339,0.007365,0.031562,0.02467,0.13909,0.0005,fc+conv,cub
3,6.263843,0.006312,0.039979,0.044662,0.138664,0.0005,fc+conv,cub
4,6.222945,0.008417,0.043135,0.036155,0.149298,0.0005,fc+conv,cub
5,6.200705,0.007891,0.045765,0.03658,0.161633,0.0005,fc+conv,cub
6,6.161303,0.012099,0.060494,0.051042,0.214802,0.0005,fc+conv,cub
7,5.993352,0.013151,0.080484,0.053169,0.262442,0.0005,fc+conv,cub
8,5.784048,0.023146,0.092057,0.0906,0.299447,0.0005,fc+conv,cub
9,5.656031,0.019463,0.105734,0.075712,0.312208,0.0005,fc+conv,cub
10,5.557118,0.026302,0.117833,0.105912,0.356869,0.0005,fc+conv,cub
11,5.444192,0.028406,0.147817,0.118673,0.403233,0.0005,fc+conv,cub
12,5.327243,0.032614,0.177801,0.125479,0.427052,0.0005,fc+conv,cub
13,5.17587,0.05313,0.21778,0.131859,0.443216,0.0005,fc+conv,cub
14,5.012823,0.060494,0.256181,0.134411,0.464058,0.0005,fc+conv,cub
15,4.838222,0.074171,0.32141,0.159081,0.473841,0.0005,fc+conv,cub
16,4.665373,0.113624,0.382956,0.174819,0.478945,0.0005,fc+conv,cub
17,4.480661,0.146765,0.452393,0.173543,0.499787,0.0005,fc+conv,cub
18,4.311568,0.179379,0.491846,0.183752,0.524883,0.0005,fc+conv,cub
19,4.114191,0.205155,0.531299,0.188856,0.532965,0.0005,fc+conv,cub
20,3.966316,0.224093,0.56707,0.201191,0.541897,0.0005,fc+conv,cub
21,3.866207,0.244608,0.600736,0.202042,0.554658,0.0005,fc+conv,cub
22,3.707442,0.259337,0.625986,0.208847,0.566142,0.0005,fc+conv,cub
23,3.578008,0.287743,0.664387,0.216504,0.581029,0.0005,fc+conv,cub
24,3.444802,0.310889,0.687533,0.224585,0.587835,0.0005,fc+conv,cub
25,3.33898,0.321936,0.700684,0.226712,0.592088,0.0005,fc+conv,cub
26,3.187237,0.352972,0.716991,0.233092,0.601021,0.0005,fc+conv,cub
27,3.082807,0.376644,0.738559,0.251382,0.598469,0.0005,fc+conv,cub
28,2.972544,0.389269,0.753288,0.259464,0.60655,0.0005,fc+conv,cub
29,2.886551,0.398211,0.757496,0.269672,0.602722,0.0005,fc+conv,cub
30,2.786755,0.410836,0.770121,0.268822,0.61761,0.0005,fc+conv,cub
31,2.676965,0.42767,0.77959,0.276478,0.622714,0.0005,fc+conv,cub
32,2.623581,0.426618,0.783272,0.277329,0.622714,0.0005,fc+conv,cub
33,2.549868,0.440295,0.798001,0.28541,0.622714,0.0005,fc+conv,cub
34,2.450079,0.445029,0.800631,0.289664,0.626117,0.0005,fc+conv,cub
35,2.369244,0.463966,0.803261,0.291791,0.631646,0.0005,fc+conv,cub
36,2.279365,0.462914,0.811678,0.297746,0.629519,0.0005,fc+conv,cub
37,2.209195,0.472909,0.816412,0.295194,0.636325,0.0005,fc+conv,cub
38,2.192915,0.475539,0.817464,0.296895,0.631646,0.0005,fc+conv,cub
39,2.065032,0.486586,0.823777,0.301999,0.637601,0.0005,fc+conv,cub
40,2.084046,0.497633,0.823777,0.30285,0.629945,0.0005,fc+conv,cub
41,1.96169,0.496055,0.830615,0.301148,0.632071,0.0005,fc+conv,cub
42,1.902543,0.511836,0.831668,0.307954,0.632922,0.0005,fc+conv,cub
43,1.825656,0.502893,0.836402,0.310932,0.629519,0.0005,fc+conv,cub
44,1.785351,0.511836,0.838506,0.311357,0.634624,0.0005,fc+conv,cub
45,1.699801,0.51131,0.830089,0.309655,0.636325,0.0005,fc+conv,cub
46,1.633546,0.518674,0.837454,0.310506,0.6359,0.0005,fc+conv,cub
47,1.62156,0.521305,0.84061,0.308805,0.642705,0.0005,fc+conv,cub
48,1.539115,0.530773,0.831668,0.311782,0.643556,0.0005,fc+conv,cub
49,1.487816,0.520252,0.839032,0.313909,0.641855,0.0005,fc+conv,cub
50,1.436802,0.536034,0.839558,0.309655,0.645683,0.0005,fc+conv,cub
51,1.403158,0.522883,0.834824,0.316036,0.646533,0.0005,fc+conv,cub
52,1.332928,0.529721,0.843766,0.313909,0.644407,0.0005,fc+conv,cub
53,1.339429,0.523935,0.830089,0.311357,0.643556,0.0005,fc+conv,cub
54,1.266025,0.526565,0.839032,0.312208,0.645257,0.0005,fc+conv,cub
55,1.207577,0.529195,0.839032,0.304551,0.642705,0.0005,fc+conv,cub
56,1.17202,0.529195,0.83535,0.306253,0.652488,0.0005,fc+conv,cub
57,1.135105,0.529721,0.834298,0.311782,0.64866,0.0005,fc+conv,cub
58,1.206459,0.527617,0.83535,0.307529,0.649085,0.0005,fc+conv,cub
59,1.097681,0.538664,0.840084,0.305827,0.658443,0.0005,fc+conv,cub
60,1.009529,0.531825,0.839032,0.303275,0.651638,0.0005,fc+conv,cub
61,0.966609,0.533403,0.842714,0.310081,0.653339,0.0005,fc+conv,cub
62,0.944547,0.534982,0.83535,0.304977,0.65419,0.0005,fc+conv,cub
63,0.885192,0.530773,0.842714,0.310932,0.656742,0.0005,fc+conv,cub
64,0.847112,0.524461,0.83798,0.301574,0.647809,0.0005,fc+conv,cub
65,0.832695,0.531299,0.83798,0.310081,0.657167,0.0005,fc+conv,cub
66,0.850501,0.53393,0.831142,0.306678,0.660995,0.0005,fc+conv,cub
67,0.762696,0.531825,0.835876,0.305402,0.656316,0.0005,fc+conv,cub
68,0.719562,0.53919,0.829037,0.304551,0.663122,0.0005,fc+conv,cub
69,0.683697,0.532351,0.833246,0.304126,0.655891,0.0005,fc+conv,cub
70,0.652611,0.53656,0.838506,0.308805,0.659294,0.0005,fc+conv,cub
71,0.6342,0.531825,0.830089,0.305827,0.661421,0.0005,fc+conv,cub
