epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,18.014406,0.006312,0.032088,0.025096,0.121225,0.0005,fc+conv,cub
2,6.383413,0.006312,0.029984,0.025096,0.122501,0.0005,fc+conv,cub
3,6.262855,0.00263,0.028406,0.025096,0.135262,0.0005,fc+conv,cub
4,6.228978,0.006312,0.032614,0.021268,0.117822,0.0005,fc+conv,cub
5,6.209953,0.006839,0.036823,0.028499,0.1208,0.0005,fc+conv,cub
6,6.193154,0.007365,0.041031,0.029349,0.121225,0.0005,fc+conv,cub
7,6.179708,0.010521,0.037349,0.031901,0.124202,0.0005,fc+conv,cub
8,6.165037,0.011047,0.045239,0.031901,0.136112,0.0005,fc+conv,cub
9,6.152676,0.007891,0.048396,0.034028,0.142918,0.0005,fc+conv,cub
10,6.143368,0.009469,0.055234,0.038282,0.152276,0.0005,fc+conv,cub
11,6.127464,0.011047,0.069963,0.043811,0.183752,0.0005,fc+conv,cub
12,6.105894,0.019989,0.087849,0.049341,0.233092,0.0005,fc+conv,cub
13,6.022651,0.015255,0.072593,0.056146,0.253934,0.0005,fc+conv,cub
14,5.779052,0.019463,0.073119,0.068481,0.299022,0.0005,fc+conv,cub
15,5.640757,0.018937,0.092583,0.093577,0.325393,0.0005,fc+conv,cub
16,5.542562,0.019463,0.104682,0.100808,0.370481,0.0005,fc+conv,cub
17,5.429897,0.026302,0.147817,0.10889,0.403658,0.0005,fc+conv,cub
18,5.278275,0.040505,0.198843,0.112293,0.464483,0.0005,fc+conv,cub
19,5.091728,0.048922,0.241452,0.116972,0.502339,0.0005,fc+conv,cub
20,4.91162,0.059968,0.262493,0.112718,0.497235,0.0005,fc+conv,cub
21,4.775762,0.069437,0.303524,0.116546,0.512123,0.0005,fc+conv,cub
22,4.65818,0.08627,0.330878,0.123352,0.534666,0.0005,fc+conv,cub
23,4.615036,0.099947,0.365597,0.127605,0.544875,0.0005,fc+conv,cub
24,4.49446,0.109942,0.394003,0.124628,0.553382,0.0005,fc+conv,cub
25,4.381979,0.11415,0.410836,0.133986,0.565717,0.0005,fc+conv,cub
26,4.32381,0.130984,0.431878,0.131433,0.564441,0.0005,fc+conv,cub
27,4.247456,0.13414,0.444503,0.144194,0.575925,0.0005,fc+conv,cub
28,4.216763,0.145713,0.454498,0.144619,0.581455,0.0005,fc+conv,cub
29,4.13458,0.150447,0.462914,0.148022,0.584007,0.0005,fc+conv,cub
30,4.086954,0.148869,0.478695,0.151,0.58826,0.0005,fc+conv,cub
31,4.104134,0.163072,0.503419,0.144619,0.582731,0.0005,fc+conv,cub
32,3.970839,0.174645,0.517622,0.147597,0.58741,0.0005,fc+conv,cub
