epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,17.331387,0.006312,0.027354,0.025521,0.11527,0.0005,fc+conv,cub
2,6.437365,0.005786,0.028406,0.025521,0.114845,0.0005,fc+conv,cub
3,6.273853,0.006312,0.036823,0.025521,0.112293,0.0005,fc+conv,cub
4,6.222178,0.006312,0.033666,0.025521,0.135262,0.0005,fc+conv,cub
5,6.19832,0.006839,0.038927,0.025521,0.136963,0.0005,fc+conv,cub
6,6.178499,0.009469,0.047344,0.025521,0.13994,0.0005,fc+conv,cub
7,6.159493,0.015255,0.059968,0.025521,0.145895,0.0005,fc+conv,cub
8,6.13362,0.014729,0.082062,0.025946,0.160783,0.0005,fc+conv,cub
9,6.034113,0.009469,0.079432,0.047639,0.21225,0.0005,fc+conv,cub
10,5.726425,0.02788,0.122567,0.053594,0.289664,0.0005,fc+conv,cub
11,5.512654,0.035771,0.139926,0.065079,0.328796,0.0005,fc+conv,cub
12,5.336675,0.049974,0.21252,0.080391,0.336453,0.0005,fc+conv,cub
13,5.071289,0.064177,0.26565,0.085496,0.3943,0.0005,fc+conv,cub
14,4.776994,0.092057,0.341399,0.103786,0.4245,0.0005,fc+conv,cub
15,4.562706,0.120989,0.400842,0.107614,0.421097,0.0005,fc+conv,cub
16,4.42765,0.145187,0.450289,0.113994,0.401531,0.0005,fc+conv,cub
17,4.236545,0.163598,0.492898,0.117397,0.42365,0.0005,fc+conv,cub
18,4.086649,0.18464,0.53919,0.116972,0.417695,0.0005,fc+conv,cub
19,3.930959,0.241978,0.571804,0.123777,0.417695,0.0005,fc+conv,cub
20,3.767751,0.261441,0.621778,0.123777,0.411314,0.0005,fc+conv,cub
21,3.632544,0.277223,0.642294,0.128031,0.418971,0.0005,fc+conv,cub
22,3.519324,0.312467,0.669122,0.133986,0.429179,0.0005,fc+conv,cub
23,3.333841,0.335087,0.702262,0.132284,0.43003,0.0005,fc+conv,cub
24,3.188718,0.338243,0.725408,0.132709,0.449171,0.0005,fc+conv,cub
25,3.114786,0.366123,0.735402,0.137814,0.454275,0.0005,fc+conv,cub
26,2.98454,0.38506,0.753814,0.139515,0.462356,0.0005,fc+conv,cub
27,2.862846,0.395581,0.766439,0.140791,0.462782,0.0005,fc+conv,cub
28,2.79717,0.412415,0.774329,0.141642,0.468737,0.0005,fc+conv,cub
29,2.727826,0.426618,0.780642,0.143343,0.469162,0.0005,fc+conv,cub
30,2.614629,0.437138,0.791163,0.145895,0.470438,0.0005,fc+conv,cub
31,2.542388,0.438716,0.798527,0.138664,0.471289,0.0005,fc+conv,cub
32,2.439021,0.446607,0.800631,0.139515,0.475968,0.0005,fc+conv,cub
33,2.371158,0.457654,0.803261,0.140366,0.485325,0.0005,fc+conv,cub
34,2.304663,0.475013,0.811152,0.13994,0.477244,0.0005,fc+conv,cub
35,2.214987,0.476065,0.814308,0.138239,0.483199,0.0005,fc+conv,cub
36,2.150127,0.468701,0.815886,0.145045,0.480647,0.0005,fc+conv,cub
37,2.124214,0.492372,0.824829,0.142067,0.493407,0.0005,fc+conv,cub
38,2.012275,0.496581,0.830615,0.13994,0.492556,0.0005,fc+conv,cub
39,1.949858,0.495529,0.836402,0.143769,0.496385,0.0005,fc+conv,cub
40,1.93257,0.506575,0.835876,0.138239,0.498511,0.0005,fc+conv,cub
41,1.813756,0.504471,0.83798,0.140366,0.499787,0.0005,fc+conv,cub
42,1.829647,0.517096,0.841662,0.144194,0.508294,0.0005,fc+conv,cub
43,1.73524,0.51394,0.83798,0.147171,0.504041,0.0005,fc+conv,cub
44,1.655795,0.521831,0.848501,0.14547,0.50957,0.0005,fc+conv,cub
45,1.59558,0.523935,0.843766,0.145045,0.515951,0.0005,fc+conv,cub
46,1.523937,0.534456,0.843766,0.144619,0.513399,0.0005,fc+conv,cub
47,1.48119,0.53393,0.844819,0.143769,0.512123,0.0005,fc+conv,cub
48,1.422107,0.540768,0.849553,0.142918,0.516801,0.0005,fc+conv,cub
49,1.368266,0.548133,0.851131,0.144619,0.516376,0.0005,fc+conv,cub
50,1.323298,0.54182,0.852709,0.145895,0.517652,0.0005,fc+conv,cub
51,1.261018,0.54708,0.848501,0.142493,0.521055,0.0005,fc+conv,cub
52,1.217382,0.543924,0.849553,0.148873,0.530838,0.0005,fc+conv,cub
53,1.18747,0.54708,0.854287,0.145895,0.524883,0.0005,fc+conv,cub
54,1.132242,0.54445,0.847975,0.148447,0.526159,0.0005,fc+conv,cub
55,1.077895,0.543398,0.854287,0.148873,0.530413,0.0005,fc+conv,cub
56,1.141734,0.551815,0.852183,0.149298,0.525734,0.0005,fc+conv,cub
57,1.021311,0.552867,0.850605,0.153126,0.535091,0.0005,fc+conv,cub
