epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,17.355132,0.006312,0.028406,0.025521,0.11527,0.0005,fc+conv,cub
2,6.448242,0.006312,0.029984,0.025521,0.10889,0.0005,fc+conv,cub
3,6.272864,0.006312,0.031562,0.025521,0.10251,0.0005,fc+conv,cub
4,6.219824,0.006312,0.03051,0.025521,0.124202,0.0005,fc+conv,cub
5,6.196149,0.008943,0.036823,0.025521,0.11527,0.0005,fc+conv,cub
6,6.176374,0.007365,0.042609,0.025521,0.122501,0.0005,fc+conv,cub
7,6.160468,0.010521,0.048396,0.025521,0.118673,0.0005,fc+conv,cub
8,6.145874,0.012099,0.054182,0.025946,0.117822,0.0005,fc+conv,cub
9,6.130655,0.022094,0.065229,0.028924,0.125479,0.0005,fc+conv,cub
10,6.110087,0.018411,0.073645,0.049341,0.161208,0.0005,fc+conv,cub
11,6.039519,0.013151,0.069963,0.043386,0.229689,0.0005,fc+conv,cub
12,5.796554,0.018937,0.092583,0.07231,0.240323,0.0005,fc+conv,cub
13,5.557002,0.021568,0.127301,0.06678,0.309655,0.0005,fc+conv,cub
14,5.383269,0.031562,0.142557,0.087197,0.358996,0.0005,fc+conv,cub
15,5.185569,0.044713,0.235139,0.102935,0.398128,0.0005,fc+conv,cub
16,4.968733,0.073119,0.282483,0.094853,0.417269,0.0005,fc+conv,cub
17,4.752798,0.093109,0.340873,0.098681,0.416844,0.0005,fc+conv,cub
18,4.598738,0.114676,0.395055,0.09698,0.428328,0.0005,fc+conv,cub
19,4.413842,0.144661,0.45555,0.097405,0.426202,0.0005,fc+conv,cub
20,4.315763,0.176223,0.501315,0.097831,0.413016,0.0005,fc+conv,cub
21,4.121633,0.194634,0.530247,0.105062,0.404083,0.0005,fc+conv,cub
22,3.96861,0.220936,0.57233,0.113143,0.409188,0.0005,fc+conv,cub
23,3.888437,0.24829,0.602315,0.125904,0.41174,0.0005,fc+conv,cub
24,3.655842,0.277749,0.632825,0.122926,0.413016,0.0005,fc+conv,cub
25,3.53078,0.291952,0.668595,0.131433,0.417269,0.0005,fc+conv,cub
26,3.435758,0.317201,0.685429,0.138239,0.418545,0.0005,fc+conv,cub
27,3.291964,0.342451,0.700158,0.134411,0.418971,0.0005,fc+conv,cub
28,3.175359,0.35718,0.713309,0.131008,0.415993,0.0005,fc+conv,cub
29,3.119521,0.365071,0.729616,0.132709,0.421948,0.0005,fc+conv,cub
30,2.972297,0.392951,0.733298,0.131433,0.422799,0.0005,fc+conv,cub
31,2.886413,0.396633,0.753814,0.133135,0.421523,0.0005,fc+conv,cub
32,2.788697,0.413467,0.743293,0.131433,0.429179,0.0005,fc+conv,cub
33,2.711884,0.419779,0.761178,0.133135,0.438537,0.0005,fc+conv,cub
34,2.623374,0.423461,0.770121,0.137814,0.437686,0.0005,fc+conv,cub
35,2.529319,0.431352,0.776433,0.135262,0.444066,0.0005,fc+conv,cub
36,2.466844,0.439243,0.789584,0.13994,0.452148,0.0005,fc+conv,cub
37,2.388903,0.447133,0.792741,0.139515,0.444492,0.0005,fc+conv,cub
38,2.328749,0.450815,0.78748,0.144194,0.447044,0.0005,fc+conv,cub
39,2.256909,0.461862,0.792741,0.141642,0.452573,0.0005,fc+conv,cub
40,2.286915,0.474487,0.801683,0.154402,0.456402,0.0005,fc+conv,cub
