epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,21.68967,0.006312,0.03314,0.025521,0.114845,0.0005,fc+conv,cub
2,6.628605,0.006312,0.03051,0.017439,0.123777,0.0005,fc+conv,cub
3,6.329204,0.011047,0.036297,0.017439,0.133135,0.0005,fc+conv,cub
4,6.260065,0.012625,0.051026,0.017439,0.118248,0.0005,fc+conv,cub
5,6.193849,0.018411,0.068911,0.02382,0.13356,0.0005,fc+conv,cub
6,6.082977,0.015255,0.075224,0.021268,0.099957,0.0005,fc+conv,cub
7,5.879694,0.019463,0.108364,0.019141,0.144619,0.0005,fc+conv,cub
8,5.625305,0.033666,0.163598,0.015313,0.23054,0.0005,fc+conv,cub
9,5.40118,0.048396,0.208311,0.022969,0.260315,0.0005,fc+conv,cub
10,5.028988,0.087849,0.338769,0.058273,0.318588,0.0005,fc+conv,cub
11,4.628207,0.127301,0.415045,0.06678,0.315185,0.0005,fc+conv,cub
12,4.384714,0.152025,0.457654,0.072735,0.32114,0.0005,fc+conv,cub
13,4.185189,0.16202,0.509206,0.076138,0.323267,0.0005,fc+conv,cub
14,4.020137,0.197265,0.546028,0.079115,0.330923,0.0005,fc+conv,cub
15,3.877305,0.232509,0.590742,0.079115,0.335602,0.0005,fc+conv,cub
16,3.686685,0.245134,0.612309,0.08507,0.337303,0.0005,fc+conv,cub
17,3.560496,0.287743,0.649132,0.088048,0.33943,0.0005,fc+conv,cub
18,3.380871,0.316675,0.685429,0.095279,0.344534,0.0005,fc+conv,cub
19,3.213322,0.342977,0.710679,0.099957,0.34496,0.0005,fc+conv,cub
20,3.061022,0.375066,0.728038,0.094853,0.349638,0.0005,fc+conv,cub
21,2.907106,0.395581,0.752762,0.103786,0.358571,0.0005,fc+conv,cub
22,2.778761,0.418727,0.770647,0.110166,0.362824,0.0005,fc+conv,cub
23,2.634287,0.439769,0.781694,0.103786,0.372182,0.0005,fc+conv,cub
24,2.559561,0.448711,0.797475,0.110591,0.388345,0.0005,fc+conv,cub
25,2.4122,0.453972,0.80484,0.111017,0.39983,0.0005,fc+conv,cub
26,2.338345,0.466597,0.813256,0.114845,0.410038,0.0005,fc+conv,cub
27,2.221641,0.477117,0.817464,0.119949,0.421097,0.0005,fc+conv,cub
28,2.154265,0.487112,0.831668,0.114845,0.42365,0.0005,fc+conv,cub
29,2.069443,0.504471,0.829563,0.117822,0.429179,0.0005,fc+conv,cub
30,1.954957,0.495529,0.832194,0.121225,0.437261,0.0005,fc+conv,cub
31,1.894955,0.522357,0.83798,0.118673,0.43641,0.0005,fc+conv,cub
32,1.778419,0.525513,0.844819,0.118248,0.438537,0.0005,fc+conv,cub
33,1.699162,0.53393,0.847449,0.115695,0.441089,0.0005,fc+conv,cub
34,1.623966,0.530773,0.847975,0.12165,0.43641,0.0005,fc+conv,cub
35,1.543044,0.540768,0.853761,0.113569,0.443216,0.0005,fc+conv,cub
36,1.491584,0.540768,0.844292,0.11527,0.444492,0.0005,fc+conv,cub
37,1.470785,0.552867,0.852709,0.118673,0.444917,0.0005,fc+conv,cub
38,1.344413,0.558127,0.852709,0.1208,0.445342,0.0005,fc+conv,cub
39,1.269382,0.550763,0.855339,0.120374,0.443641,0.0005,fc+conv,cub
40,1.217617,0.552341,0.853761,0.1208,0.443641,0.0005,fc+conv,cub
41,1.164927,0.564966,0.858496,0.117822,0.449596,0.0005,fc+conv,cub
42,1.107351,0.568122,0.856391,0.117822,0.444066,0.0005,fc+conv,cub
43,1.048855,0.566018,0.856917,0.12165,0.444917,0.0005,fc+conv,cub
44,1.002165,0.562336,0.856917,0.123352,0.444066,0.0005,fc+conv,cub
45,0.942269,0.568648,0.855339,0.1208,0.441514,0.0005,fc+conv,cub
46,0.878236,0.57233,0.861126,0.122501,0.444917,0.0005,fc+conv,cub
47,0.860358,0.56444,0.856917,0.117397,0.438537,0.0005,fc+conv,cub
48,0.826185,0.557075,0.860074,0.116972,0.438962,0.0005,fc+conv,cub
49,0.765203,0.559179,0.856391,0.120374,0.434283,0.0005,fc+conv,cub
50,0.723371,0.561284,0.856391,0.111867,0.432157,0.0005,fc+conv,cub
51,0.676782,0.570752,0.852183,0.120374,0.431306,0.0005,fc+conv,cub
52,0.644266,0.567596,0.853761,0.120374,0.432582,0.0005,fc+conv,cub
53,0.613537,0.5697,0.849027,0.117397,0.430455,0.0005,fc+conv,cub
54,0.586365,0.562336,0.852709,0.114419,0.43003,0.0005,fc+conv,cub
55,0.559471,0.56181,0.850079,0.109741,0.435559,0.0005,fc+conv,cub
56,0.641819,0.56181,0.851131,0.1208,0.433433,0.0005,fc+conv,cub
57,0.512165,0.566544,0.852183,0.11527,0.428328,0.0005,fc+conv,cub
58,0.435242,0.574961,0.853235,0.116972,0.427478,0.0005,fc+conv,cub
59,0.387157,0.566544,0.847975,0.114419,0.43003,0.0005,fc+conv,cub
60,0.362169,0.57233,0.851657,0.113994,0.429179,0.0005,fc+conv,cub
61,0.3436,0.567596,0.851657,0.111867,0.428328,0.0005,fc+conv,cub
62,0.345043,0.566544,0.846923,0.114419,0.429179,0.0005,fc+conv,cub
63,0.291575,0.570752,0.847449,0.118248,0.430455,0.0005,fc+conv,cub
64,0.271518,0.563388,0.847975,0.114419,0.427903,0.0005,fc+conv,cub
65,0.254834,0.564966,0.850605,0.12165,0.427903,0.0005,fc+conv,cub
66,0.235924,0.563388,0.849027,0.119949,0.437261,0.0005,fc+conv,cub
67,0.218435,0.563914,0.838506,0.117397,0.432157,0.0005,fc+conv,cub
68,0.205041,0.559705,0.846923,0.115695,0.429179,0.0005,fc+conv,cub
69,0.198479,0.56707,0.842714,0.120374,0.431731,0.0005,fc+conv,cub
