epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,22.610248,0.016752,0.05244,,,0.0005,fc+conv,flowers
2,6.119538,0.03059,0.131585,,,0.0005,fc+conv,flowers
3,5.447597,0.031804,0.1294,,,0.0005,fc+conv,flowers
4,5.584813,0.03059,0.128915,,,0.0005,fc+conv,flowers
5,5.657307,0.03059,0.1294,,,0.0005,fc+conv,flowers
6,5.673899,0.03059,0.141054,,,0.0005,fc+conv,flowers
7,5.696763,0.03059,0.137655,,,0.0005,fc+conv,flowers
8,5.734567,0.03059,0.135955,,,0.0005,fc+conv,flowers
9,5.760908,0.03059,0.138869,,,0.0005,fc+conv,flowers
10,5.765232,0.032775,0.143967,,,0.0005,fc+conv,flowers
11,5.75807,0.036174,0.156591,,,0.0005,fc+conv,flowers
12,5.722626,0.047099,0.173829,,,0.0005,fc+conv,flowers
13,5.657952,0.040787,0.181597,,,0.0005,fc+conv,flowers
14,5.556677,0.044671,0.193008,,,0.0005,fc+conv,flowers
15,5.433505,0.052925,0.21243,,,0.0005,fc+conv,flowers
16,5.363575,0.06118,0.24035,,,0.0005,fc+conv,flowers
17,5.245915,0.058752,0.249818,,,0.0005,fc+conv,flowers
18,5.199832,0.080602,0.289633,,,0.0005,fc+conv,flowers
19,5.167273,0.095169,0.297645,,,0.0005,fc+conv,flowers
20,5.012875,0.109493,0.315368,,,0.0005,fc+conv,flowers
21,4.873686,0.119446,0.340617,,,0.0005,fc+conv,flowers
22,4.879897,0.13814,0.392328,,,0.0005,fc+conv,flowers
23,4.633212,0.133528,0.389658,,,0.0005,fc+conv,flowers
24,4.620921,0.15562,0.443069,,,0.0005,fc+conv,flowers
25,4.457968,0.170672,0.466133,,,0.0005,fc+conv,flowers
26,4.492475,0.17747,0.502064,,,0.0005,fc+conv,flowers
27,4.291185,0.207817,0.511289,,,0.0005,fc+conv,flowers
28,4.335593,0.204176,0.529497,,,0.0005,fc+conv,flowers
29,4.136488,0.234037,0.550862,,,0.0005,fc+conv,flowers
30,4.051828,0.242292,0.58218,,,0.0005,fc+conv,flowers
31,3.943934,0.262442,0.596504,,,0.0005,fc+conv,flowers
32,3.870468,0.276766,0.626366,,,0.0005,fc+conv,flowers
