epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,16.149776,0.021293,0.094297,0.060792,0.307306,0.0005,fc+conv,flowers
2,6.183361,0.029658,0.149049,0.060792,0.307306,0.0005,fc+conv,flowers
3,5.556342,0.030418,0.15057,0.060792,0.307306,0.0005,fc+conv,flowers
4,5.482135,0.029658,0.15057,0.064696,0.307306,0.0005,fc+conv,flowers
5,5.578928,0.04943,0.15057,0.022867,0.307306,0.0005,fc+conv,flowers
6,5.672185,0.057034,0.152091,0.022867,0.307306,0.0005,fc+conv,flowers
7,5.726371,0.044106,0.16654,0.022867,0.307306,0.0005,fc+conv,flowers
8,5.697786,0.068441,0.161217,0.022867,0.33575,0.0005,fc+conv,flowers
9,5.605717,0.062357,0.163498,0.022867,0.36754,0.0005,fc+conv,flowers
10,5.501288,0.06616,0.184791,0.022867,0.366425,0.0005,fc+conv,flowers
11,5.378042,0.086692,0.214449,0.022867,0.341327,0.0005,fc+conv,flowers
12,5.206523,0.041825,0.180228,0.060234,0.393196,0.0005,fc+conv,flowers
13,5.161583,0.040304,0.122433,0.083659,0.287786,0.0005,fc+conv,flowers
14,5.13764,0.039544,0.180228,0.058561,0.303402,0.0005,fc+conv,flowers
15,5.238768,0.075285,0.231179,0.084774,0.305633,0.0005,fc+conv,flowers
16,4.997722,0.088213,0.292776,0.078639,0.293921,0.0005,fc+conv,flowers
17,4.840231,0.096578,0.344487,0.112103,0.336866,0.0005,fc+conv,flowers
18,4.565547,0.118631,0.365019,0.113218,0.35527,0.0005,fc+conv,flowers
19,4.672926,0.123194,0.374905,0.115449,0.343001,0.0005,fc+conv,flowers
20,4.574229,0.142966,0.392395,0.114334,0.300056,0.0005,fc+conv,flowers
21,4.533292,0.178707,0.436502,0.128277,0.335192,0.0005,fc+conv,flowers
22,4.327593,0.190875,0.470722,0.113776,0.31121,0.0005,fc+conv,flowers
23,4.234245,0.215209,0.526236,0.124373,0.329615,0.0005,fc+conv,flowers
24,4.113735,0.228897,0.545247,0.123815,0.344116,0.0005,fc+conv,flowers
25,4.066537,0.253232,0.588593,0.121584,0.426102,0.0005,fc+conv,flowers
26,3.827086,0.269202,0.644106,0.131065,0.350251,0.0005,fc+conv,flowers
27,3.745888,0.294297,0.672243,0.131623,0.37256,0.0005,fc+conv,flowers
28,3.486255,0.320913,0.685171,0.128277,0.408812,0.0005,fc+conv,flowers
29,3.455365,0.346768,0.711787,0.123257,0.385945,0.0005,fc+conv,flowers
30,3.310305,0.378707,0.730038,0.155047,0.414389,0.0005,fc+conv,flowers
31,3.195821,0.391635,0.771863,0.152259,0.443949,0.0005,fc+conv,flowers
