epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,2.018225,0.008943,0.037875,0.026372,0.138664,0.0005,fc+conv,cub
2,1.19777,0.02262,0.095739,0.019141,0.13356,0.0005,fc+conv,cub
3,1.027118,0.017885,0.087322,0.031476,0.176095,0.0005,fc+conv,cub
4,0.986899,0.016833,0.078906,0.041684,0.168014,0.0005,fc+conv,cub
5,0.972055,0.023146,0.100999,0.034453,0.189281,0.0005,fc+conv,cub
6,0.953268,0.02262,0.112046,0.046789,0.20587,0.0005,fc+conv,cub
7,0.920331,0.02788,0.132562,0.07869,0.291365,0.0005,fc+conv,cub
8,0.87426,0.043135,0.15939,0.098256,0.356019,0.0005,fc+conv,cub
9,0.813959,0.072593,0.241978,0.109315,0.361974,0.0005,fc+conv,cub
10,0.749691,0.107312,0.317201,0.114419,0.365376,0.0005,fc+conv,cub
11,0.692059,0.1394,0.415045,0.126755,0.383241,0.0005,fc+conv,cub
12,0.643902,0.15676,0.470279,0.126755,0.41259,0.0005,fc+conv,cub
13,0.600507,0.178853,0.527617,0.134836,0.405785,0.0005,fc+conv,cub
14,0.560536,0.201999,0.56181,0.143343,0.416844,0.0005,fc+conv,cub
15,0.524846,0.220936,0.588112,0.146746,0.409188,0.0005,fc+conv,cub
16,0.491772,0.220936,0.601262,0.142493,0.407061,0.0005,fc+conv,cub
17,0.459668,0.225145,0.600736,0.143343,0.395151,0.0005,fc+conv,cub
18,0.434417,0.236718,0.62283,0.141642,0.409188,0.0005,fc+conv,cub
19,0.406237,0.2404,0.625986,0.138664,0.3943,0.0005,fc+conv,cub
20,0.383569,0.234613,0.603367,0.137388,0.390472,0.0005,fc+conv,cub
21,0.362619,0.241978,0.630195,0.142067,0.409188,0.0005,fc+conv,cub
22,0.33799,0.24566,0.626512,0.136538,0.402807,0.0005,fc+conv,cub
23,0.317229,0.239874,0.622304,0.138239,0.396002,0.0005,fc+conv,cub
24,0.299198,0.234087,0.612835,0.130157,0.395151,0.0005,fc+conv,cub
25,0.284662,0.234087,0.615466,0.131008,0.385368,0.0005,fc+conv,cub
26,0.267808,0.237244,0.61494,0.135262,0.405359,0.0005,fc+conv,cub
27,0.253948,0.235139,0.615992,0.135687,0.392174,0.0005,fc+conv,cub
28,0.2397,0.234613,0.623356,0.136963,0.397703,0.0005,fc+conv,cub
29,0.226611,0.237244,0.618622,0.134836,0.394726,0.0005,fc+conv,cub
30,0.21244,0.233035,0.611783,0.135262,0.393875,0.0005,fc+conv,cub
31,0.202563,0.224093,0.604945,0.12718,0.391323,0.0005,fc+conv,cub
32,0.190271,0.236718,0.612835,0.129307,0.395576,0.0005,fc+conv,cub
33,0.181545,0.219358,0.599684,0.126755,0.392599,0.0005,fc+conv,cub
34,0.17042,0.223567,0.594424,0.133986,0.387495,0.0005,fc+conv,cub
35,0.163005,0.21778,0.59758,0.128456,0.39345,0.0005,fc+conv,cub
36,0.153149,0.222514,0.602315,0.130157,0.385793,0.0005,fc+conv,cub
37,0.14808,0.206733,0.574435,0.130583,0.391748,0.0005,fc+conv,cub
38,0.138323,0.223567,0.586533,0.131008,0.398128,0.0005,fc+conv,cub
39,0.133223,0.216202,0.581799,0.130157,0.393024,0.0005,fc+conv,cub
40,0.126616,0.201473,0.562336,0.132284,0.386644,0.0005,fc+conv,cub
41,0.120651,0.213046,0.573908,0.128456,0.380689,0.0005,fc+conv,cub
42,0.113554,0.197265,0.547607,0.128881,0.391323,0.0005,fc+conv,cub
43,0.106097,0.200947,0.56444,0.128881,0.387495,0.0005,fc+conv,cub
