epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,2.698938,0.020532,0.101141,0.07362,0.291132,0.0005,fc+conv,flowers
2,1.670962,0.051711,0.146008,0.029002,0.312326,0.0005,fc+conv,flowers
3,1.328051,0.052471,0.201521,0.036252,0.23034,0.0005,fc+conv,flowers
4,1.26504,0.061597,0.250951,0.040714,0.261015,0.0005,fc+conv,flowers
5,1.170216,0.076046,0.277567,0.0686,0.398215,0.0005,fc+conv,flowers
6,1.107136,0.092776,0.251711,0.105968,0.398773,0.0005,fc+conv,flowers
7,1.068654,0.098099,0.247909,0.122142,0.346347,0.0005,fc+conv,flowers
8,0.994527,0.094297,0.262357,0.121584,0.314557,0.0005,fc+conv,flowers
9,0.949869,0.077567,0.288973,0.117122,0.298383,0.0005,fc+conv,flowers
10,0.89711,0.086692,0.31711,0.10541,0.295036,0.0005,fc+conv,flowers
11,0.831907,0.117871,0.363498,0.099275,0.31121,0.0005,fc+conv,flowers
12,0.774102,0.137643,0.431179,0.090909,0.319018,0.0005,fc+conv,flowers
13,0.719008,0.170342,0.482129,0.094255,0.324596,0.0005,fc+conv,flowers
14,0.670727,0.228897,0.561217,0.093698,0.331846,0.0005,fc+conv,flowers
15,0.592096,0.270722,0.629658,0.102621,0.321249,0.0005,fc+conv,flowers
16,0.536095,0.326236,0.679848,0.104852,0.317903,0.0005,fc+conv,flowers
17,0.491478,0.371863,0.731559,0.098717,0.322365,0.0005,fc+conv,flowers
18,0.455296,0.402281,0.75057,0.096486,0.316788,0.0005,fc+conv,flowers
19,0.424867,0.419772,0.76654,0.099275,0.312883,0.0005,fc+conv,flowers
20,0.398895,0.441825,0.784791,0.09816,0.313441,0.0005,fc+conv,flowers
21,0.37246,0.468441,0.798479,0.102621,0.327384,0.0005,fc+conv,flowers
22,0.347372,0.471483,0.786312,0.096486,0.324596,0.0005,fc+conv,flowers
23,0.330298,0.484411,0.803042,0.09816,0.319576,0.0005,fc+conv,flowers
24,0.308304,0.488213,0.804563,0.094813,0.321807,0.0005,fc+conv,flowers
25,0.297141,0.505703,0.812167,0.094255,0.337981,0.0005,fc+conv,flowers
26,0.278657,0.538403,0.825856,0.094255,0.339096,0.0005,fc+conv,flowers
27,0.26362,0.538403,0.828897,0.093698,0.34077,0.0005,fc+conv,flowers
28,0.253154,0.536882,0.830418,0.089236,0.339096,0.0005,fc+conv,flowers
29,0.238211,0.536122,0.839544,0.089794,0.336308,0.0005,fc+conv,flowers
30,0.227582,0.54981,0.844867,0.088678,0.341327,0.0005,fc+conv,flowers
31,0.220037,0.565019,0.85019,0.093698,0.33575,0.0005,fc+conv,flowers
32,0.206814,0.555894,0.850951,0.089236,0.325153,0.0005,fc+conv,flowers
33,0.197433,0.576426,0.852471,0.090909,0.349693,0.0005,fc+conv,flowers
34,0.187201,0.558935,0.85019,0.092582,0.333519,0.0005,fc+conv,flowers
35,0.180223,0.560456,0.855513,0.087563,0.327384,0.0005,fc+conv,flowers
36,0.173579,0.577186,0.853992,0.087005,0.341327,0.0005,fc+conv,flowers
37,0.165929,0.58251,0.860076,0.089236,0.337981,0.0005,fc+conv,flowers
38,0.158352,0.556654,0.843346,0.084216,0.339096,0.0005,fc+conv,flowers
39,0.153409,0.562738,0.856274,0.087005,0.344116,0.0005,fc+conv,flowers
40,0.149348,0.559696,0.850951,0.08812,0.350251,0.0005,fc+conv,flowers
41,0.141606,0.562738,0.846388,0.090351,0.343558,0.0005,fc+conv,flowers
42,0.136027,0.557414,0.860076,0.086447,0.36029,0.0005,fc+conv,flowers
43,0.131145,0.558935,0.848669,0.083101,0.34077,0.0005,fc+conv,flowers
44,0.127003,0.562738,0.855513,0.089794,0.344116,0.0005,fc+conv,flowers
45,0.122318,0.556654,0.860076,0.082543,0.349693,0.0005,fc+conv,flowers
46,0.117187,0.561977,0.852471,0.084216,0.34802,0.0005,fc+conv,flowers
47,0.115044,0.558175,0.853992,0.09314,0.338539,0.0005,fc+conv,flowers
48,0.108274,0.557414,0.84943,0.085332,0.341327,0.0005,fc+conv,flowers
49,0.106029,0.557414,0.851711,0.081985,0.345789,0.0005,fc+conv,flowers
50,0.104293,0.560456,0.851711,0.083659,0.352482,0.0005,fc+conv,flowers
51,0.100575,0.555133,0.847909,0.086447,0.337981,0.0005,fc+conv,flowers
52,0.094965,0.535361,0.839544,0.088678,0.341327,0.0005,fc+conv,flowers
53,0.091577,0.534601,0.847148,0.08589,0.34077,0.0005,fc+conv,flowers
54,0.087619,0.544487,0.836502,0.08589,0.345231,0.0005,fc+conv,flowers
55,0.084395,0.542966,0.850951,0.084216,0.347462,0.0005,fc+conv,flowers
56,0.082253,0.538403,0.847909,0.08589,0.341885,0.0005,fc+conv,flowers
57,0.081903,0.540684,0.847909,0.085332,0.344674,0.0005,fc+conv,flowers
58,0.077466,0.532319,0.838023,0.087005,0.342443,0.0005,fc+conv,flowers
59,0.074461,0.523954,0.83346,0.084774,0.343001,0.0005,fc+conv,flowers
60,0.071896,0.526236,0.838023,0.087005,0.344674,0.0005,fc+conv,flowers
61,0.070287,0.524715,0.844867,0.08589,0.350809,0.0005,fc+conv,flowers
62,0.067987,0.527757,0.839544,0.085332,0.348578,0.0005,fc+conv,flowers
63,0.066375,0.524715,0.838783,0.083101,0.349136,0.0005,fc+conv,flowers
64,0.064591,0.519392,0.838783,0.08589,0.34077,0.0005,fc+conv,flowers
65,0.063681,0.521673,0.834221,0.085332,0.347462,0.0005,fc+conv,flowers
66,0.060974,0.501901,0.829658,0.08589,0.334635,0.0005,fc+conv,flowers
67,0.05927,0.518631,0.838023,0.089794,0.348578,0.0005,fc+conv,flowers
68,0.057432,0.501141,0.822814,0.084774,0.340212,0.0005,fc+conv,flowers
69,0.054874,0.512548,0.828137,0.087005,0.346905,0.0005,fc+conv,flowers
