epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,21.411601,0.006312,0.031562,0.025521,0.119524,0.0005,fc+conv,cub
2,3.152119,0.008417,0.041557,0.025521,0.112293,0.0005,fc+conv,cub
3,2.40739,0.009469,0.037875,0.025096,0.123352,0.0005,fc+conv,cub
4,2.333193,0.009995,0.048922,0.025521,0.11527,0.0005,fc+conv,cub
5,2.302659,0.020516,0.08364,0.025521,0.116121,0.0005,fc+conv,cub
6,2.272463,0.018411,0.088375,0.025946,0.116972,0.0005,fc+conv,cub
7,2.280938,0.018937,0.096791,0.021693,0.128456,0.0005,fc+conv,cub
8,2.250189,0.028932,0.112046,0.022544,0.129307,0.0005,fc+conv,cub
9,2.326495,0.019989,0.10363,0.02467,0.141217,0.0005,fc+conv,cub
10,2.221289,0.03051,0.151499,0.02467,0.141642,0.0005,fc+conv,cub
11,2.338449,0.027354,0.113624,0.022969,0.134411,0.0005,fc+conv,cub
12,2.244225,0.037349,0.154129,0.023394,0.145895,0.0005,fc+conv,cub
13,2.201372,0.049974,0.197791,0.02382,0.143343,0.0005,fc+conv,cub
14,2.241716,0.052078,0.172015,0.017865,0.136538,0.0005,fc+conv,cub
15,2.233309,0.038927,0.188322,0.019566,0.145895,0.0005,fc+conv,cub
16,2.180806,0.066281,0.251973,0.025521,0.159932,0.0005,fc+conv,cub
17,2.201278,0.098369,0.313519,0.02467,0.161633,0.0005,fc+conv,cub
18,2.188825,0.093109,0.313519,0.025946,0.155678,0.0005,fc+conv,cub
19,2.165976,0.116255,0.355602,0.023394,0.153552,0.0005,fc+conv,cub
20,2.176815,0.086796,0.310889,0.018715,0.15185,0.0005,fc+conv,cub
21,2.19205,0.123619,0.413467,0.027222,0.166312,0.0005,fc+conv,cub
22,2.153874,0.129932,0.439243,0.018715,0.171416,0.0005,fc+conv,cub
23,2.129986,0.142557,0.46607,0.022118,0.180349,0.0005,fc+conv,cub
24,2.123544,0.148869,0.494477,0.021268,0.18758,0.0005,fc+conv,cub
25,2.121359,0.167806,0.503419,0.022544,0.205444,0.0005,fc+conv,cub
26,2.201239,0.15676,0.423987,0.02382,0.208847,0.0005,fc+conv,cub
27,2.108978,0.228827,0.570752,0.022969,0.202042,0.0005,fc+conv,cub
28,2.102253,0.228827,0.606523,0.021693,0.207997,0.0005,fc+conv,cub
29,2.089592,0.236191,0.620726,0.02467,0.220332,0.0005,fc+conv,cub
30,2.074256,0.274592,0.647554,0.045513,0.223309,0.0005,fc+conv,cub
31,2.069148,0.286165,0.662283,0.061676,0.239047,0.0005,fc+conv,cub
32,2.059388,0.297738,0.673856,0.057422,0.24883,0.0005,fc+conv,cub
33,2.091412,0.270384,0.639137,0.063377,0.227988,0.0005,fc+conv,cub
34,2.093518,0.291426,0.64545,0.07869,0.254785,0.0005,fc+conv,cub
35,2.039945,0.314045,0.72646,0.10251,0.272225,0.0005,fc+conv,cub
36,2.030785,0.327196,0.728038,0.12165,0.275627,0.0005,fc+conv,cub
37,2.022773,0.344029,0.741189,0.107188,0.286261,0.0005,fc+conv,cub
38,1.99424,0.361915,0.758548,0.102935,0.281582,0.0005,fc+conv,cub
39,1.981751,0.366123,0.749079,0.124202,0.276903,0.0005,fc+conv,cub
40,1.96883,0.40242,0.775907,0.112293,0.283709,0.0005,fc+conv,cub
41,1.957082,0.41031,0.783798,0.101234,0.26074,0.0005,fc+conv,cub
42,1.944635,0.40768,0.781168,0.100808,0.257337,0.0005,fc+conv,cub
43,1.934195,0.429248,0.785902,0.099532,0.247129,0.0005,fc+conv,cub
44,1.919339,0.426618,0.794845,0.105062,0.245002,0.0005,fc+conv,cub
45,1.904922,0.451867,0.793793,0.095279,0.225861,0.0005,fc+conv,cub
46,1.890685,0.435034,0.806944,0.10251,0.23054,0.0005,fc+conv,cub
47,1.876535,0.443451,0.788532,0.110166,0.245002,0.0005,fc+conv,cub
48,1.882128,0.455024,0.800105,0.124202,0.229264,0.0005,fc+conv,cub
49,1.830746,0.466597,0.819569,0.118673,0.232242,0.0005,fc+conv,cub
50,1.803782,0.461862,0.819043,0.111867,0.21863,0.0005,fc+conv,cub
51,1.788379,0.468701,0.829563,0.108039,0.239473,0.0005,fc+conv,cub
52,1.767406,0.473435,0.821147,0.099957,0.240749,0.0005,fc+conv,cub
53,1.727516,0.479221,0.825881,0.100808,0.229689,0.0005,fc+conv,cub
54,1.699106,0.485008,0.819043,0.088898,0.219906,0.0005,fc+conv,cub
55,1.668439,0.484482,0.819569,0.081242,0.210123,0.0005,fc+conv,cub
56,1.630568,0.505523,0.819043,0.077414,0.205019,0.0005,fc+conv,cub
57,1.57606,0.506575,0.825881,0.065504,0.199064,0.0005,fc+conv,cub
58,1.535157,0.50868,0.820095,0.064228,0.206721,0.0005,fc+conv,cub
59,1.48486,0.514466,0.821147,0.057422,0.204168,0.0005,fc+conv,cub
60,1.453907,0.524461,0.817991,0.056572,0.206721,0.0005,fc+conv,cub
61,1.411207,0.531299,0.833246,0.052744,0.210974,0.0005,fc+conv,cub
62,1.372553,0.521305,0.825355,0.046789,0.206721,0.0005,fc+conv,cub
63,1.34241,0.558127,0.821147,0.047639,0.215653,0.0005,fc+conv,cub
64,1.309205,0.552341,0.815886,0.052318,0.209698,0.0005,fc+conv,cub
65,1.27838,0.543398,0.817991,0.041684,0.21778,0.0005,fc+conv,cub
66,1.242972,0.542872,0.819569,0.038282,0.207997,0.0005,fc+conv,cub
67,1.215003,0.549185,0.805366,0.035304,0.211399,0.0005,fc+conv,cub
68,1.195842,0.552341,0.823251,0.037006,0.214802,0.0005,fc+conv,cub
69,1.147462,0.549711,0.833772,0.037006,0.220757,0.0005,fc+conv,cub
