epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,17.336149,0.021293,0.059316,0.060792,0.307306,0.0005,fc+conv,flowers
2,3.269414,0.023574,0.126996,0.060792,0.370887,0.0005,fc+conv,flowers
3,2.363901,0.004563,0.034981,0.060792,0.274958,0.0005,fc+conv,flowers
4,2.463056,0.048669,0.146008,0.060792,0.302287,0.0005,fc+conv,flowers
5,2.242036,0.006844,0.048669,0.04908,0.23536,0.0005,fc+conv,flowers
6,2.384816,0.052471,0.177947,0.064696,0.248187,0.0005,fc+conv,flowers
7,2.207418,0.044106,0.171103,0.022867,0.295594,0.0005,fc+conv,flowers
8,2.316195,0.026616,0.18403,0.022867,0.307306,0.0005,fc+conv,flowers
9,2.343218,0.051711,0.170342,0.022867,0.302844,0.0005,fc+conv,flowers
10,2.204016,0.025856,0.175665,0.022867,0.312883,0.0005,fc+conv,flowers
11,2.508925,0.028137,0.134601,0.022867,0.243726,0.0005,fc+conv,flowers
12,2.188693,0.054753,0.196198,0.022867,0.2599,0.0005,fc+conv,flowers
13,2.25268,0.06692,0.244106,0.022867,0.290574,0.0005,fc+conv,flowers
14,2.535582,0.028897,0.173384,0.022867,0.324596,0.0005,fc+conv,flowers
15,2.179471,0.053232,0.206084,0.022867,0.262131,0.0005,fc+conv,flowers
16,2.612191,0.065399,0.197719,0.045176,0.41662,0.0005,fc+conv,flowers
17,2.900756,0.062357,0.201521,0.04406,0.325711,0.0005,fc+conv,flowers
18,2.192722,0.111027,0.38403,0.050195,0.334635,0.0005,fc+conv,flowers
19,2.154923,0.126236,0.41597,0.044618,0.29894,0.0005,fc+conv,flowers
20,2.197221,0.123954,0.41597,0.055215,0.310095,0.0005,fc+conv,flowers
21,2.159913,0.136882,0.420532,0.064138,0.314557,0.0005,fc+conv,flowers
22,2.191163,0.130038,0.437262,0.059119,0.330173,0.0005,fc+conv,flowers
23,2.155337,0.147529,0.444106,0.073062,0.34077,0.0005,fc+conv,flowers
24,2.177506,0.162738,0.480608,0.071946,0.369771,0.0005,fc+conv,flowers
25,2.17617,0.156654,0.447909,0.066927,0.360848,0.0005,fc+conv,flowers
26,2.21631,0.171863,0.485932,0.064138,0.356386,0.0005,fc+conv,flowers
27,2.110826,0.201521,0.479848,0.089236,0.370329,0.0005,fc+conv,flowers
28,2.12504,0.206844,0.53384,0.087005,0.399888,0.0005,fc+conv,flowers
29,2.131444,0.174905,0.535361,0.083101,0.40435,0.0005,fc+conv,flowers
