epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,1.695533,0.012099,0.074171,0.028073,0.161633,0.0001,fc,cub
2,1.318827,0.012099,0.071541,0.026797,0.131859,0.0001,fc,cub
3,1.18582,0.056286,0.172015,0.021693,0.126329,0.0001,fc,cub
4,1.099724,0.092057,0.256181,0.025521,0.145045,0.0001,fc,cub
5,1.049263,0.083114,0.251973,0.031051,0.177797,0.0001,fc,cub
6,1.014223,0.082588,0.251973,0.042535,0.185028,0.0001,fc,cub
7,0.989614,0.085744,0.281957,0.048065,0.203743,0.0001,fc,cub
8,0.970138,0.094161,0.30405,0.054445,0.232667,0.0001,fc,cub
9,0.954011,0.094687,0.317201,0.057848,0.257763,0.0001,fc,cub
10,0.936194,0.092057,0.325618,0.072735,0.293492,0.0001,fc,cub
11,0.917906,0.097843,0.338769,0.095704,0.325393,0.0001,fc,cub
12,0.897897,0.099947,0.336665,0.107188,0.342833,0.0001,fc,cub
13,0.874764,0.108364,0.34929,0.126329,0.357295,0.0001,fc,cub
14,0.849863,0.11152,0.355076,0.132709,0.37516,0.0001,fc,cub
15,0.821939,0.129932,0.370331,0.135687,0.370906,0.0001,fc,cub
16,0.792755,0.143609,0.394003,0.138239,0.379413,0.0001,fc,cub
17,0.76325,0.158864,0.417149,0.13909,0.383667,0.0001,fc,cub
18,0.733993,0.168332,0.429774,0.148447,0.388771,0.0001,fc,cub
19,0.705079,0.193056,0.462388,0.147597,0.384943,0.0001,fc,cub
20,0.677546,0.211468,0.490268,0.155253,0.396002,0.0001,fc,cub
21,0.650529,0.216728,0.512888,0.153552,0.384943,0.0001,fc,cub
22,0.624587,0.228301,0.538664,0.156104,0.394726,0.0001,fc,cub
23,0.598408,0.236191,0.56707,0.156104,0.391748,0.0001,fc,cub
24,0.573654,0.249342,0.590216,0.158231,0.395576,0.0001,fc,cub
25,0.549404,0.263546,0.608627,0.161208,0.398554,0.0001,fc,cub
26,0.524806,0.270384,0.623356,0.160357,0.398128,0.0001,fc,cub
27,0.501198,0.268806,0.62283,0.159081,0.393024,0.0001,fc,cub
28,0.477992,0.286165,0.641767,0.160357,0.398128,0.0001,fc,cub
29,0.455479,0.281957,0.650184,0.15738,0.395576,0.0001,fc,cub
30,0.433508,0.294582,0.658601,0.15738,0.396002,0.0001,fc,cub
31,0.413028,0.30142,0.667017,0.156954,0.398979,0.0001,fc,cub
32,0.39195,0.294582,0.660705,0.153552,0.402382,0.0001,fc,cub
33,0.371782,0.302472,0.677012,0.154828,0.396852,0.0001,fc,cub
34,0.354129,0.307733,0.665965,0.156529,0.410038,0.0001,fc,cub
35,0.336117,0.317728,0.674908,0.153126,0.404934,0.0001,fc,cub
36,0.317956,0.315097,0.67333,0.156954,0.405785,0.0001,fc,cub
37,0.301143,0.311941,0.678064,0.149298,0.397703,0.0001,fc,cub
38,0.285088,0.310889,0.670174,0.153977,0.410038,0.0001,fc,cub
39,0.270854,0.296686,0.658601,0.153977,0.40621,0.0001,fc,cub
40,0.255955,0.309311,0.67333,0.149298,0.402807,0.0001,fc,cub
41,0.242636,0.310363,0.67333,0.15185,0.401957,0.0001,fc,cub
42,0.229181,0.299316,0.661231,0.156954,0.402807,0.0001,fc,cub
43,0.217858,0.299842,0.667543,0.158656,0.404934,0.0001,fc,cub
44,0.205903,0.304577,0.668595,0.155253,0.39983,0.0001,fc,cub
45,0.194368,0.291952,0.655445,0.155253,0.404934,0.0001,fc,cub
46,0.183736,0.299842,0.664913,0.161633,0.404083,0.0001,fc,cub
47,0.17374,0.300894,0.659653,0.156954,0.404509,0.0001,fc,cub
48,0.164348,0.288795,0.658075,0.155253,0.401957,0.0001,fc,cub
49,0.154836,0.295108,0.654392,0.156954,0.403658,0.0001,fc,cub
50,0.146167,0.292478,0.654392,0.15738,0.402382,0.0001,fc,cub
51,0.138198,0.277749,0.633877,0.159081,0.405785,0.0001,fc,cub
52,0.130255,0.283535,0.639137,0.152276,0.405359,0.0001,fc,cub
53,0.123289,0.283009,0.639663,0.154828,0.40621,0.0001,fc,cub
54,0.11661,0.269858,0.637033,0.155678,0.403233,0.0001,fc,cub
55,0.110484,0.27354,0.643346,0.157805,0.401957,0.0001,fc,cub
56,0.104551,0.268806,0.629143,0.152276,0.404083,0.0001,fc,cub
57,0.098425,0.27354,0.629669,0.153977,0.401531,0.0001,fc,cub
58,0.093385,0.267228,0.632825,0.154402,0.400255,0.0001,fc,cub
59,0.087655,0.268806,0.62283,0.152701,0.402807,0.0001,fc,cub
60,0.08252,0.257233,0.620726,0.152701,0.39983,0.0001,fc,cub
61,0.078474,0.264072,0.622304,0.15185,0.404509,0.0001,fc,cub
62,0.074206,0.265124,0.625986,0.153552,0.398554,0.0001,fc,cub
63,0.070132,0.255129,0.612835,0.149298,0.396852,0.0001,fc,cub
64,0.066019,0.254603,0.618622,0.153552,0.398128,0.0001,fc,cub
65,0.063007,0.249868,0.611783,0.149724,0.396427,0.0001,fc,cub
66,0.059898,0.246712,0.605997,0.152701,0.396002,0.0001,fc,cub
67,0.05656,0.252499,0.599684,0.153977,0.396852,0.0001,fc,cub
68,0.053032,0.247764,0.60021,0.149724,0.39983,0.0001,fc,cub
69,0.050181,0.246712,0.599158,0.148873,0.3943,0.0001,fc,cub
