epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,1.849872,0.076806,0.18327,0.052426,0.314557,0.0001,fc,flowers
2,1.258322,0.103422,0.301901,0.065254,0.296709,0.0001,fc,flowers
3,1.275231,0.069202,0.279087,0.060792,0.277189,0.0001,fc,flowers
4,1.163516,0.088973,0.307985,0.060792,0.250418,0.0001,fc,flowers
5,1.192048,0.107224,0.321673,0.06135,0.287786,0.0001,fc,flowers
6,1.11764,0.142966,0.380989,0.061907,0.295594,0.0001,fc,flowers
7,1.124653,0.181749,0.4327,0.070273,0.337981,0.0001,fc,flowers
8,1.081927,0.207605,0.467681,0.080312,0.380926,0.0001,fc,flowers
9,1.037349,0.196958,0.469202,0.103179,0.393753,0.0001,fc,flowers
10,1.015501,0.190875,0.488973,0.11768,0.403793,0.0001,fc,flowers
11,0.988685,0.186312,0.493536,0.126603,0.409927,0.0001,fc,flowers
12,0.954046,0.190114,0.504943,0.128277,0.415505,0.0001,fc,flowers
13,0.927149,0.194677,0.530038,0.128277,0.393753,0.0001,fc,flowers
14,0.897317,0.203042,0.55057,0.129392,0.372002,0.0001,fc,flowers
15,0.877053,0.211407,0.565779,0.129392,0.351924,0.0001,fc,flowers
16,0.844821,0.212167,0.574905,0.127719,0.335192,0.0001,fc,flowers
17,0.824243,0.229658,0.58403,0.128277,0.331846,0.0001,fc,flowers
18,0.795077,0.252471,0.611407,0.132181,0.332962,0.0001,fc,flowers
19,0.763069,0.268441,0.612928,0.134412,0.336866,0.0001,fc,flowers
20,0.727053,0.273004,0.613688,0.132738,0.337423,0.0001,fc,flowers
21,0.68108,0.297338,0.641825,0.134969,0.342443,0.0001,fc,flowers
22,0.641233,0.308745,0.648669,0.130508,0.342443,0.0001,fc,flowers
23,0.61527,0.329278,0.676806,0.134969,0.344674,0.0001,fc,flowers
24,0.58035,0.339924,0.688213,0.132181,0.348578,0.0001,fc,flowers
25,0.547347,0.368821,0.713308,0.136642,0.345789,0.0001,fc,flowers
26,0.51886,0.395437,0.736882,0.12995,0.350809,0.0001,fc,flowers
27,0.49371,0.422053,0.747529,0.132181,0.349693,0.0001,fc,flowers
28,0.468714,0.437262,0.759696,0.132181,0.351366,0.0001,fc,flowers
29,0.446738,0.458555,0.776426,0.1372,0.359175,0.0001,fc,flowers
30,0.427323,0.48289,0.785551,0.133854,0.346347,0.0001,fc,flowers
31,0.407761,0.501141,0.796958,0.128277,0.352482,0.0001,fc,flowers
32,0.390002,0.509506,0.804563,0.126046,0.36029,0.0001,fc,flowers
33,0.372287,0.524715,0.813688,0.12995,0.351366,0.0001,fc,flowers
34,0.357541,0.536122,0.81749,0.130508,0.359732,0.0001,fc,flowers
35,0.344848,0.542205,0.818251,0.126603,0.371445,0.0001,fc,flowers
36,0.330681,0.54981,0.823574,0.122699,0.364194,0.0001,fc,flowers
37,0.317844,0.564259,0.827376,0.121584,0.369771,0.0001,fc,flowers
38,0.304144,0.574144,0.834221,0.126046,0.368098,0.0001,fc,flowers
39,0.292641,0.586312,0.837262,0.122699,0.371445,0.0001,fc,flowers
40,0.282117,0.584791,0.838023,0.119353,0.377579,0.0001,fc,flowers
41,0.272006,0.591635,0.839544,0.119353,0.373118,0.0001,fc,flowers
42,0.261037,0.587833,0.841825,0.115449,0.374233,0.0001,fc,flowers
43,0.250373,0.597719,0.85019,0.118238,0.369771,0.0001,fc,flowers
44,0.242899,0.595437,0.843346,0.115449,0.37981,0.0001,fc,flowers
45,0.232495,0.596958,0.85019,0.118795,0.372002,0.0001,fc,flowers
46,0.224215,0.60076,0.847909,0.116564,0.366425,0.0001,fc,flowers
47,0.216602,0.595437,0.852471,0.120468,0.373675,0.0001,fc,flowers
48,0.208052,0.597719,0.853992,0.115449,0.368098,0.0001,fc,flowers
49,0.200741,0.606084,0.855513,0.114891,0.364194,0.0001,fc,flowers
50,0.193023,0.601521,0.854753,0.117122,0.361405,0.0001,fc,flowers
51,0.187244,0.601521,0.858555,0.11768,0.372002,0.0001,fc,flowers
52,0.180653,0.609125,0.858555,0.118795,0.373675,0.0001,fc,flowers
53,0.174677,0.596198,0.861597,0.119353,0.374791,0.0001,fc,flowers
54,0.167859,0.605323,0.859316,0.125488,0.361963,0.0001,fc,flowers
55,0.162573,0.597719,0.860837,0.122142,0.373118,0.0001,fc,flowers
56,0.157486,0.619011,0.864639,0.123257,0.368656,0.0001,fc,flowers
57,0.152829,0.628137,0.864639,0.123257,0.373118,0.0001,fc,flowers
58,0.147316,0.621293,0.86692,0.122699,0.370329,0.0001,fc,flowers
59,0.143229,0.609886,0.864639,0.126603,0.377022,0.0001,fc,flowers
60,0.136374,0.61597,0.862357,0.129392,0.360848,0.0001,fc,flowers
61,0.132836,0.615209,0.865399,0.12995,0.366983,0.0001,fc,flowers
62,0.128824,0.609125,0.865399,0.127161,0.369214,0.0001,fc,flowers
63,0.124666,0.61673,0.86692,0.123257,0.371445,0.0001,fc,flowers
64,0.119957,0.61597,0.861597,0.12995,0.37256,0.0001,fc,flowers
65,0.116379,0.613688,0.865399,0.125488,0.366983,0.0001,fc,flowers
66,0.113083,0.623574,0.865399,0.126046,0.372002,0.0001,fc,flowers
67,0.109475,0.622053,0.872243,0.127161,0.373675,0.0001,fc,flowers
68,0.106805,0.615209,0.869202,0.122699,0.369771,0.0001,fc,flowers
69,0.102768,0.613688,0.86692,0.127161,0.373118,0.0001,fc,flowers
