epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,65.85168,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
2,5.137513,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
3,4.056224,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
4,3.223759,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
5,2.960346,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
6,2.801497,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
7,2.674784,0.006312,0.03051,0.025521,0.118248,0.0001,fc,cub
8,2.590702,0.006312,0.03314,0.022544,0.134411,0.0001,fc,cub
9,2.541191,0.008943,0.031562,0.015738,0.121225,0.0001,fc,cub
10,2.513281,0.006312,0.032088,0.014462,0.125479,0.0001,fc,cub
11,2.478735,0.006839,0.043661,0.012335,0.119098,0.0001,fc,cub
12,2.449938,0.013151,0.048922,0.004679,0.119098,0.0001,fc,cub
13,2.425924,0.007891,0.044713,0.006806,0.119098,0.0001,fc,cub
14,2.407571,0.012099,0.055234,0.00638,0.119098,0.0001,fc,cub
15,2.39255,0.015255,0.056286,0.00553,0.119098,0.0001,fc,cub
16,2.379748,0.016307,0.059442,0.009358,0.119098,0.0001,fc,cub
17,2.373177,0.013677,0.071541,0.008507,0.119098,0.0001,fc,cub
18,2.357024,0.02262,0.08627,0.007231,0.119098,0.0001,fc,cub
19,2.347614,0.029458,0.110994,0.006806,0.119098,0.0001,fc,cub
20,2.335973,0.019989,0.07575,0.008082,0.119098,0.0001,fc,cub
21,2.326321,0.032614,0.121515,0.007656,0.119098,0.0001,fc,cub
22,2.317285,0.025776,0.089953,0.012335,0.119098,0.0001,fc,cub
23,2.308471,0.014203,0.087849,0.016163,0.119098,0.0001,fc,cub
24,2.299176,0.051552,0.140978,0.013186,0.119098,0.0001,fc,cub
25,2.295264,0.029458,0.123093,0.008082,0.119098,0.0001,fc,cub
26,2.295007,0.040505,0.114676,0.011484,0.119098,0.0001,fc,cub
27,2.283663,0.056286,0.165702,0.011484,0.119098,0.0001,fc,cub
28,2.274763,0.046817,0.166754,0.014462,0.119098,0.0001,fc,cub
29,2.264816,0.077328,0.18464,0.012761,0.119098,0.0001,fc,cub
30,2.268422,0.031036,0.160442,0.015738,0.119098,0.0001,fc,cub
31,2.261174,0.066281,0.214098,0.014887,0.119098,0.0001,fc,cub
32,2.260247,0.057864,0.176749,0.012761,0.119098,0.0001,fc,cub
33,2.247473,0.060494,0.188322,0.014462,0.119098,0.0001,fc,cub
34,2.247287,0.076802,0.233035,0.017439,0.119098,0.0001,fc,cub
35,2.243796,0.071015,0.21252,0.016163,0.119098,0.0001,fc,cub
36,2.237353,0.044713,0.234087,0.016589,0.119098,0.0001,fc,cub
37,2.23188,0.091531,0.253551,0.017014,0.119098,0.0001,fc,cub
38,2.237328,0.08364,0.26565,0.017439,0.119098,0.0001,fc,cub
39,2.224324,0.075224,0.247238,0.017865,0.119098,0.0001,fc,cub
40,2.22285,0.071541,0.254603,0.017865,0.119098,0.0001,fc,cub
41,2.225353,0.057338,0.190426,0.017439,0.119098,0.0001,fc,cub
42,2.221214,0.085744,0.283535,0.017865,0.119098,0.0001,fc,cub
43,2.220848,0.067333,0.254077,0.017439,0.119098,0.0001,fc,cub
44,2.213812,0.077328,0.288269,0.017439,0.119098,0.0001,fc,cub
45,2.207229,0.098369,0.290373,0.017865,0.119098,0.0001,fc,cub
46,2.20964,0.097317,0.297738,0.017865,0.119098,0.0001,fc,cub
47,2.210382,0.08364,0.224093,0.017439,0.119098,0.0001,fc,cub
48,2.198648,0.093635,0.309311,0.01829,0.119098,0.0001,fc,cub
49,2.193723,0.120989,0.340873,0.017865,0.119098,0.0001,fc,cub
50,2.196028,0.11415,0.338243,0.017865,0.119098,0.0001,fc,cub
51,2.195059,0.091531,0.309311,0.015738,0.119098,0.0001,fc,cub
