epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,47.637252,0.021293,0.059316,0.060792,0.190184,0.0001,fc,flowers
2,3.912589,0.021293,0.059316,0.060792,0.190184,0.0001,fc,flowers
3,3.42216,0.021293,0.057795,0.060792,0.190184,0.0001,fc,flowers
4,2.785843,0.021293,0.101901,0.060792,0.190184,0.0001,fc,flowers
5,2.511467,0.03346,0.126236,0.060792,0.307306,0.0001,fc,flowers
6,2.426247,0.023574,0.123194,0.060792,0.307306,0.0001,fc,flowers
7,2.381684,0.039544,0.161217,0.060792,0.307306,0.0001,fc,flowers
8,2.358743,0.028897,0.151331,0.060792,0.307306,0.0001,fc,flowers
9,2.336553,0.039544,0.148289,0.060792,0.307306,0.0001,fc,flowers
10,2.327687,0.053992,0.152091,0.060792,0.307306,0.0001,fc,flowers
11,2.318656,0.039544,0.152852,0.060792,0.307306,0.0001,fc,flowers
12,2.313141,0.04943,0.174144,0.060792,0.307306,0.0001,fc,flowers
13,2.303777,0.039544,0.141445,0.060792,0.307306,0.0001,fc,flowers
14,2.293546,0.057795,0.15057,0.060792,0.307306,0.0001,fc,flowers
15,2.305182,0.039544,0.155894,0.060792,0.307306,0.0001,fc,flowers
16,2.286173,0.009125,0.125475,0.060792,0.307306,0.0001,fc,flowers
17,2.305763,0.039544,0.18403,0.060792,0.307306,0.0001,fc,flowers
18,2.362934,0.039544,0.126996,0.060792,0.307306,0.0001,fc,flowers
19,2.337504,0.048669,0.171103,0.060792,0.307306,0.0001,fc,flowers
20,2.3629,0.01749,0.120152,0.060792,0.307306,0.0001,fc,flowers
21,2.331634,0.041065,0.161217,0.060792,0.307306,0.0001,fc,flowers
22,2.316713,0.041825,0.155133,0.060792,0.307306,0.0001,fc,flowers
23,2.323536,0.06616,0.203802,0.060792,0.307306,0.0001,fc,flowers
24,2.37263,0.01749,0.139163,0.060792,0.307306,0.0001,fc,flowers
25,2.319794,0.065399,0.173384,0.060792,0.307306,0.0001,fc,flowers
26,2.325685,0.01749,0.123954,0.060792,0.307306,0.0001,fc,flowers
27,2.348518,0.029658,0.160456,0.060792,0.307306,0.0001,fc,flowers
28,2.313683,0.013688,0.103422,0.060792,0.307306,0.0001,fc,flowers
29,2.273578,0.056274,0.159696,0.060792,0.307306,0.0001,fc,flowers
30,2.289788,0.009125,0.132319,0.060792,0.307306,0.0001,fc,flowers
31,2.311069,0.076046,0.210646,0.060792,0.307306,0.0001,fc,flowers
32,2.334895,0.028897,0.095817,0.060792,0.307306,0.0001,fc,flowers
33,2.33873,0.064639,0.180989,0.060792,0.307306,0.0001,fc,flowers
34,2.308236,0.01597,0.122433,0.060792,0.307306,0.0001,fc,flowers
35,2.274549,0.037262,0.140684,0.060792,0.307306,0.0001,fc,flowers
36,2.25562,0.018251,0.093536,0.060792,0.307306,0.0001,fc,flowers
37,2.266421,0.117871,0.311027,0.060792,0.307306,0.0001,fc,flowers
38,2.259608,0.028137,0.11711,0.060792,0.307306,0.0001,fc,flowers
39,2.239112,0.086692,0.301901,0.060792,0.307306,0.0001,fc,flowers
40,2.277139,0.021293,0.155894,0.060792,0.307306,0.0001,fc,flowers
41,2.297131,0.097338,0.308745,0.060792,0.307306,0.0001,fc,flowers
42,2.33042,0.034981,0.11711,0.060792,0.307306,0.0001,fc,flowers
43,2.422087,0.069962,0.203042,0.060792,0.307306,0.0001,fc,flowers
44,2.223943,0.053992,0.187833,0.060792,0.307306,0.0001,fc,flowers
45,2.206444,0.077567,0.339924,0.060792,0.307306,0.0001,fc,flowers
46,2.168765,0.174144,0.3673,0.060792,0.307306,0.0001,fc,flowers
47,2.190799,0.122433,0.361217,0.060792,0.307306,0.0001,fc,flowers
48,2.171578,0.163498,0.359696,0.060792,0.307306,0.0001,fc,flowers
49,2.163897,0.171863,0.441825,0.060792,0.307306,0.0001,fc,flowers
50,2.171796,0.143726,0.385551,0.060792,0.307306,0.0001,fc,flowers
51,2.166684,0.156654,0.415209,0.060792,0.307306,0.0001,fc,flowers
52,2.154598,0.171863,0.512548,0.060792,0.307306,0.0001,fc,flowers
53,2.169382,0.196958,0.445627,0.060792,0.307306,0.0001,fc,flowers
54,2.133653,0.207605,0.555894,0.060792,0.307306,0.0001,fc,flowers
55,2.143037,0.205323,0.507224,0.060792,0.307306,0.0001,fc,flowers
56,2.174725,0.15057,0.455513,0.060792,0.307306,0.0001,fc,flowers
57,2.136417,0.213688,0.511787,0.060792,0.307306,0.0001,fc,flowers
58,2.194723,0.208365,0.468441,0.060792,0.307306,0.0001,fc,flowers
59,2.115458,0.236502,0.534601,0.060792,0.307306,0.0001,fc,flowers
60,2.128188,0.260837,0.565019,0.060792,0.307306,0.0001,fc,flowers
61,2.152018,0.190114,0.518631,0.060792,0.307306,0.0001,fc,flowers
62,2.118376,0.237262,0.596958,0.060792,0.307306,0.0001,fc,flowers
63,2.134104,0.243346,0.56654,0.060792,0.307306,0.0001,fc,flowers
64,2.134698,0.223574,0.572624,0.060792,0.307306,0.0001,fc,flowers
65,2.111926,0.262357,0.618251,0.060792,0.307306,0.0001,fc,flowers
66,2.122925,0.235741,0.606084,0.060792,0.307306,0.0001,fc,flowers
67,2.106792,0.28365,0.636502,0.060792,0.307306,0.0001,fc,flowers
68,2.104639,0.292776,0.621293,0.060792,0.307306,0.0001,fc,flowers
69,2.106811,0.289734,0.626616,0.060792,0.307306,0.0001,fc,flowers
